"","Start_time","End_time","Finished","Respondent_group","Screening","Condition","Consent","Reason_nc","Check_phd","Check_group","ob1","ob2","ob3","ra1","ra2","ra3","op1","op2","op3","iq1","iq2","iq3","in1","in2","in3","co1","co2","co3","Country","Year_born","Year_phd","Gender","Religiousness","Feedback","Target"
"75","5/14/2014 13:30","5/14/2014 13:36","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",4,5,3,5,5,5,5,4,4,5,3,1,4,5,4,4,5,4,"187","48","77","1","39",NA,"Educated"
"78","5/14/2014 13:47","5/14/2014 13:51","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",6,5,6,6,6,6,6,6,5,6,6,6,6,2,6,2,3,2,"187","40","68","1","38",NA,"Scientists"
"79","5/14/2014 13:51","5/14/2014 13:55","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",3,2,2,2,5,3,2,2,2,5,5,7,4,6,6,3,2,3,"187","51","83","1","39",NA,"Educated"
"86","5/14/2014 14:35","5/14/2014 14:38","1","Scientists",NA,"Scientists_Educated","1",NA,"2",NA,5,5,4,4,5,5,5,5,5,5,5,3,4,4,5,4,5,3,"187","69","96","1","42",NA,"Educated"
"87","5/14/2014 14:36","5/14/2014 14:40","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",5,5,4,5,5,5,5,5,5,4,5,5,5,4,5,5,4,1,"187","55","82","1","38",NA,"Educated"
"88","5/14/2014 15:00","5/14/2014 15:02","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",5,4,3,6,5,5,5,3,5,4,4,6,6,5,5,5,5,3,"187","41","68","1","39",NA,"Scientists"
"92","5/14/2014 15:32","5/14/2014 15:36","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",2,1,2,3,3,4,4,2,1,2,3,3,4,3,4,1,1,1,"187","43","77","1","39",NA,"Scientists"
"93","5/14/2014 15:46","5/14/2014 15:48","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",2,2,2,5,5,4,3,3,3,4,2,4,2,2,2,3,1,1,"187","49","80","1","39",NA,"Educated"
"96","5/14/2014 15:53","5/14/2014 15:55","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",3,2,2,2,4,2,1,2,3,1,1,2,4,1,3,1,3,2,"187","44","76","2","39",NA,"Educated"
"97","5/14/2014 15:59","5/14/2014 16:02","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",6,6,6,6,7,5,5,6,7,3,4,5,7,7,7,7,6,4,"187","49","85","1","43",NA,"Scientists"
"103","5/14/2014 16:22","5/14/2014 16:34","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",7,6,2,6,7,3,6,7,6,3,6,5,6,6,6,7,3,2,"187","31","58","1","39",NA,"Scientists"
"104","5/14/2014 16:41","5/14/2014 16:49","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",5,3,3,6,2,6,3,6,6,3,5,4,6,3,3,3,3,1,"187","44","73","1","42",NA,"Educated"
"106","5/14/2014 16:57","5/14/2014 17:00","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",3,3,2,5,5,5,3,3,4,2,2,5,3,2,3,3,3,2,"187","42","68","2","38",NA,"Educated"
"107","5/14/2014 17:02","5/14/2014 17:04","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",4,5,5,4,6,6,6,5,6,5,5,5,4,4,5,3,4,5,"187","39","79","1","40",NA,"Scientists"
"111","5/14/2014 17:44","5/14/2014 18:01","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",4,3,2,5,4,5,4,5,3,5,4,5,4,4,4,4,4,4,"187","57","87","2","42",NA,"Educated"
"112","5/14/2014 18:24","5/14/2014 18:28","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",7,5,3,NA,6,7,6,6,6,4,6,6,6,5,6,6,6,4,"187","52","79","2","42",NA,"Scientists"
"114","5/14/2014 19:03","5/14/2014 19:13","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",6,6,5,6,6,7,6,7,7,3,5,4,7,7,7,6,6,5,"187","56","87","2","42",NA,"Scientists"
"120","5/14/2014 22:44","5/14/2014 22:48","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",3,4,2,4,6,4,4,5,7,4,1,4,6,7,7,4,3,2,"187","33","60","1","41",NA,"Scientists"
"121","5/14/2014 22:55","5/14/2014 22:58","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",5,5,4,6,6,6,3,5,5,5,5,6,5,5,6,5,2,2,"187","56","83","2","38",NA,"Scientists"
"123","5/15/2014 0:11","5/15/2014 0:17","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",5,5,3,6,4,6,6,5,7,3,2,4,6,5,5,5,5,5,"187","37","84","2","42",NA,"Scientists"
"136","5/15/2014 19:19","5/15/2014 19:24","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",4,5,2,5,6,6,5,5,6,4,4,4,5,5,6,5,2,2,"187","43","82","2","38",NA,"Scientists"
"137","5/15/2014 21:36","5/15/2014 21:55","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",3,3,3,4,3,5,2,3,6,5,5,5,5,3,7,3,2,3,"187","29","57","1","42",NA,"Educated"
"165","5/19/2014 13:27","5/19/2014 13:35","1","Scientists",NA,"Scientists_Educated","1",NA,"2",NA,5,5,2,6,6,5,5,6,6,6,3,2,4,4,4,4,4,4,"187","65","95","1","39",NA,"Educated"
"167","5/19/2014 13:43","5/19/2014 13:49","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","2",6,6,2,7,5,6,5,6,5,3,4,4,7,7,7,6,6,5,"187","26","55","1","44",NA,"Scientists"
