"","Start_time","End_time","Finished","Respondent_group","Screening","Condition","Consent","Reason_nc","Check_phd","Check_group","ob1","ob2","ob3","ra1","ra2","ra3","op1","op2","op3","iq1","iq2","iq3","in1","in2","in3","co1","co2","co3","Country","Year_born","Year_phd","Gender","Religiousness","Feedback","Target"
"2","5/12/2014 12:24","5/12/2014 13:26","1","Scientists",NA,"Scientists_Scientists","1",NA,"2",NA,3,2,2,7,6,6,5,3,3,5,3,5,6,5,4,6,6,3,"65","66","97","1","39",NA,"Scientists"
"3","5/13/2014 7:49","5/13/2014 8:08","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",5,6,6,6,5,5,5,3,6,5,5,6,6,6,4,5,3,2,"80","59","88","1","42",NA,"Scientists"
"4","5/14/2014 10:01","5/14/2014 10:06","1","Scientists",NA,"Scientists_Scientists","1",NA,"2",NA,3,2,2,6,6,6,5,5,5,2,3,6,5,5,5,1,4,2,"65","67","96","2","43",NA,"Scientists"
"5","5/14/2014 10:04","5/14/2014 10:07","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",4,3,4,5,5,6,3,3,5,2,3,3,5,5,4,5,5,2,"163","53","81","1","44",NA,"Scientists"
"6","5/14/2014 10:03","5/14/2014 10:08","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",4,5,3,3,5,6,6,6,6,2,3,3,5,4,5,3,5,3,"122","41","71","1","38",NA,"Educated"
"7","5/14/2014 10:04","5/14/2014 10:09","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",3,3,2,6,5,5,5,2,3,3,3,5,5,3,5,5,6,3,"48","64","95","2","38",NA,"Scientists"
"8","5/14/2014 10:05","5/14/2014 10:10","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",6,3,3,5,3,6,6,5,6,6,4,6,5,2,2,2,2,1,"36","51","83","1","43",NA,"Educated"
"9","5/14/2014 10:08","5/14/2014 10:11","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",3,5,3,4,7,6,6,6,6,3,5,5,6,3,3,3,3,2,"84","60","88","2","42",NA,"Educated"
"10","5/14/2014 10:08","5/14/2014 10:12","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",5,6,2,6,7,6,3,6,6,4,4,4,6,6,6,6,5,2,"185","54","79","1","39",NA,"Scientists"
"11","5/14/2014 10:11","5/14/2014 10:14","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",5,5,3,5,6,6,5,5,5,3,3,4,5,5,4,5,4,5,"82","51","80","1","43",NA,"Scientists"
