"","X","Start_time","End_time","Finished","Respondent_group","Screening","Consent","Reason_nc","Check_group","ob1","ob2","ob3","ra1","ra2","ra3","op1","op2","op3","iq1","iq2","iq3","in1","in2","in3","co1","co2","co3","Country","Year_born","Gender","Religiousness","Feedback","Target"
"1",2,"5/13/2014 5:00","5/13/2014 5:03",1,"Educated",NA,1,NA,1,5,5,4,5,6,6,4,6,6,5,3,5,5,4,4,4,4,4,187,54,2,40,NA,"Educated"
"2",3,"5/13/2014 5:08","5/13/2014 5:12",1,"Educated",NA,1,NA,1,6,5,3,3,4,3,6,6,6,2,3,3,6,4,6,6,5,6,187,28,1,43,NA,"Educated"
"3",4,"5/13/2014 5:05","5/13/2014 5:14",1,"Educated",NA,1,NA,1,3,5,5,5,5,5,5,3,3,5,5,5,5,3,3,3,5,3,187,51,2,44,NA,"Scientists"
"4",5,"5/13/2014 5:09","5/13/2014 5:14",1,"Educated",NA,1,NA,1,5,5,5,6,6,5,6,6,6,4,4,6,6,7,7,6,6,6,187,26,2,42,NA,"Scientists"
"5",6,"5/13/2014 5:19","5/13/2014 5:22",1,"Educated",NA,1,NA,1,5,6,5,5,6,6,5,5,5,5,6,5,6,6,6,5,5,6,187,61,1,43,NA,"Scientists"
"6",7,"5/13/2014 5:20","5/13/2014 5:22",1,"Educated",NA,1,NA,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,187,52,1,39,NA,"Educated"
"7",8,"5/13/2014 5:26","5/13/2014 5:28",1,"Educated",NA,1,NA,2,6,6,6,6,7,6,6,5,6,6,7,6,6,7,6,6,6,5,187,44,2,44,NA,"Educated"
"8",9,"5/13/2014 5:25","5/13/2014 5:28",1,"Educated",NA,1,NA,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,6,2,187,63,1,43,NA,"Scientists"
"9",10,"5/13/2014 5:32","5/13/2014 5:35",1,"Educated",NA,1,NA,2,6,7,6,7,7,6,5,6,6,6,5,6,7,6,6,7,7,5,187,32,2,38,NA,"Scientists"
"10",11,"5/13/2014 5:35","5/13/2014 5:38",1,"Educated",NA,1,NA,2,3,3,5,4,6,6,2,1,4,6,1,2,4,1,1,1,4,3,187,63,2,44,NA,"Educated"
"11",12,"5/13/2014 5:39","5/13/2014 5:42",1,"Educated",NA,1,NA,1,2,3,3,5,5,5,2,5,4,6,3,3,5,2,2,2,5,2,187,34,2,42,NA,"Educated"
"12",13,"5/13/2014 5:44","5/13/2014 5:49",1,"Educated",NA,1,NA,2,3,5,3,6,4,6,4,4,4,4,4,4,4,4,5,4,4,4,187,23,1,41,NA,"Scientists"
"13",14,"5/13/2014 5:49","5/13/2014 5:53",1,"Educated",NA,1,NA,2,4,6,4,6,6,6,2,6,5,5,7,5,4,4,4,4,4,3,187,28,1,41,NA,"Educated"
"14",15,"5/13/2014 5:54","5/13/2014 6:01",1,"Educated",NA,1,NA,1,4,6,4,4,6,7,4,6,4,4,4,4,4,4,4,4,4,2,187,49,2,43,NA,"Scientists"
"15",16,"5/13/2014 5:59","5/13/2014 6:01",1,"Educated",NA,1,NA,4,5,4,4,6,5,6,4,5,3,6,5,6,4,4,4,4,5,4,187,40,1,38,NA,"Educated"
"16",17,"5/13/2014 6:02","5/13/2014 6:07",1,"Educated",NA,1,NA,2,1,2,4,1,3,4,4,4,4,3,7,2,4,1,1,1,4,1,187,36,2,44,NA,"Educated"
"17",18,"5/13/2014 6:02","5/13/2014 6:07",1,"Educated",NA,1,NA,1,6,6,5,6,2,6,4,6,6,5,5,7,6,5,5,3,5,3,187,61,1,41,NA,"Scientists"
"18",19,"5/13/2014 6:04","5/13/2014 6:11",1,"Educated",NA,1,NA,1,6,7,4,7,6,7,7,7,6,7,6,6,7,7,7,7,7,6,187,38,1,38,NA,"Scientists"
"19",20,"5/13/2014 6:20","5/13/2014 6:25",1,"Educated",NA,1,NA,1,5,4,6,3,4,5,4,3,4,4,5,5,3,2,2,2,4,4,187,30,1,40,NA,"Scientists"
"20",21,"5/13/2014 6:19","5/13/2014 6:26",1,"Educated",NA,1,NA,1,6,5,2,5,6,5,5,6,6,4,1,5,5,2,5,1,4,1,187,52,1,43,NA,"Educated"
"21",22,"5/13/2014 6:23","5/13/2014 6:26",1,"Educated",NA,1,NA,1,7,6,3,4,6,7,7,7,6,2,2,2,7,7,7,4,7,3,187,32,1,39,NA,"Scientists"
"22",23,"5/13/2014 6:20","5/13/2014 6:27",1,"Educated",NA,1,NA,1,6,4,4,7,5,4,4,4,4,2,3,5,4,4,4,4,4,4,187,42,2,42,NA,"Educated"
"23",24,"5/13/2014 6:29","5/13/2014 6:34",1,"Educated",NA,1,NA,1,4,4,2,5,4,5,4,4,4,4,3,4,4,4,4,4,4,4,187,55,1,44,NA,"Educated"
"24",25,"5/13/2014 6:36","5/13/2014 6:38",1,"Educated",NA,1,NA,1,7,7,6,6,7,6,7,6,7,7,6,5,6,7,7,6,7,6,187,49,2,43,NA,"Scientists"
