"","Start_time","End_time","Finished","Respondent_group","Screening","Consent","Reason_nc","Check_group","ob1","ob2","ob3","ra1","ra2","ra3","op1","op2","op3","iq1","iq2","iq3","in1","in2","in3","co1","co2","co3","Country","Gender","Religiousness","Feedback","Target","Age","Objectivity","Rationality","Openness","Intelligence","Integrity","Communality"
"1","5/13/2014 5:00","5/13/2014 5:03",1,"Educated",NA,1,NA,1,5,5,4,5,6,6,4,6,6,5,3,5,5,4,4,4,4,4,187,2,3,NA,"Educated",41,4.66666666666667,5.66666666666667,5.33333333333333,4.33333333333333,4.33333333333333,4
"2","5/13/2014 5:08","5/13/2014 5:12",1,"Educated",NA,1,NA,1,6,5,3,3,4,3,6,6,6,2,3,3,6,4,6,6,5,6,187,1,6,NA,"Educated",67,4.66666666666667,3.33333333333333,6,2.66666666666667,5.33333333333333,5.66666666666667
"3","5/13/2014 5:05","5/13/2014 5:14",1,"Educated",NA,1,NA,1,3,5,5,5,5,5,5,3,3,5,5,5,5,3,3,3,5,3,187,2,7,NA,"Scientists",44,4.33333333333333,5,3.66666666666667,5,3.66666666666667,3.66666666666667
"4","5/13/2014 5:09","5/13/2014 5:14",1,"Educated",NA,1,NA,1,5,5,5,6,6,5,6,6,6,4,4,6,6,7,7,6,6,6,187,2,5,NA,"Scientists",69,5,5.66666666666667,6,4.66666666666667,6.66666666666667,6
"5","5/13/2014 5:19","5/13/2014 5:22",1,"Educated",NA,1,NA,1,5,6,5,5,6,6,5,5,5,5,6,5,6,6,6,5,5,6,187,1,6,NA,"Scientists",34,5.33333333333333,5.66666666666667,5,5.33333333333333,6,5.33333333333333
"6","5/13/2014 5:20","5/13/2014 5:22",1,"Educated",NA,1,NA,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,187,1,2,NA,"Educated",43,4,4,4,4,4,4
"7","5/13/2014 5:26","5/13/2014 5:28",1,"Educated",NA,1,NA,2,6,6,6,6,7,6,6,5,6,6,7,6,6,7,6,6,6,5,187,2,7,NA,"Educated",51,6,6.33333333333333,5.66666666666667,6.33333333333333,6.33333333333333,5.66666666666667
"8","5/13/2014 5:25","5/13/2014 5:28",1,"Educated",NA,1,NA,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,6,2,187,1,6,NA,"Scientists",32,6,6,6,6,5.66666666666667,4.33333333333333
"9","5/13/2014 5:32","5/13/2014 5:35",1,"Educated",NA,1,NA,2,6,7,6,7,7,6,5,6,6,6,5,6,7,6,6,7,7,5,187,2,1,NA,"Scientists",63,6.33333333333333,6.66666666666667,5.66666666666667,5.66666666666667,6.33333333333333,6.33333333333333
"10","5/13/2014 5:35","5/13/2014 5:38",1,"Educated",NA,1,NA,2,3,3,5,4,6,6,2,1,4,6,1,2,4,1,1,1,4,3,187,2,7,NA,"Educated",32,3.66666666666667,5.33333333333333,2.33333333333333,3,2,2.66666666666667
"11","5/13/2014 5:39","5/13/2014 5:42",1,"Educated",NA,1,NA,1,2,3,3,5,5,5,2,5,4,6,3,3,5,2,2,2,5,2,187,2,5,NA,"Educated",61,2.66666666666667,5,3.66666666666667,4,3,3
"12","5/13/2014 5:44","5/13/2014 5:49",1,"Educated",NA,1,NA,2,3,5,3,6,4,6,4,4,4,4,4,4,4,4,5,4,4,4,187,1,4,NA,"Scientists",72,3.66666666666667,5.33333333333333,4,4,4.33333333333333,4
"13","5/13/2014 5:49","5/13/2014 5:53",1,"Educated",NA,1,NA,2,4,6,4,6,6,6,2,6,5,5,7,5,4,4,4,4,4,3,187,1,4,NA,"Educated",67,4.66666666666667,6,4.33333333333333,5.66666666666667,4,3.66666666666667
"14","5/13/2014 5:54","5/13/2014 6:01",1,"Educated",NA,1,NA,1,4,6,4,4,6,7,4,6,4,4,4,4,4,4,4,4,4,2,187,2,6,NA,"Scientists",46,4.66666666666667,5.66666666666667,4.66666666666667,4,4,3.33333333333333
"15","5/13/2014 5:59","5/13/2014 6:01",1,"Educated",NA,1,NA,4,5,4,4,6,5,6,4,5,3,6,5,6,4,4,4,4,5,4,187,1,1,NA,"Educated",55,4.33333333333333,5.66666666666667,4,5.66666666666667,4,4.33333333333333
"16","5/13/2014 6:02","5/13/2014 6:07",1,"Educated",NA,1,NA,2,1,2,4,1,3,4,4,4,4,3,7,2,4,1,1,1,4,1,187,2,7,NA,"Educated",59,2.33333333333333,2.66666666666667,4,4,2,2
"17","5/13/2014 6:02","5/13/2014 6:07",1,"Educated",NA,1,NA,1,6,6,5,6,2,6,4,6,6,5,5,7,6,5,5,3,5,3,187,1,4,NA,"Scientists",34,5.66666666666667,4.66666666666667,5.33333333333333,5.66666666666667,5.33333333333333,3.66666666666667
"18","5/13/2014 6:04","5/13/2014 6:11",1,"Educated",NA,1,NA,1,6,7,4,7,6,7,7,7,6,7,6,6,7,7,7,7,7,6,187,1,1,NA,"Scientists",57,5.66666666666667,6.66666666666667,6.66666666666667,6.33333333333333,7,6.66666666666667
"19","5/13/2014 6:20","5/13/2014 6:25",1,"Educated",NA,1,NA,1,5,4,6,3,4,5,4,3,4,4,5,5,3,2,2,2,4,4,187,1,3,NA,"Scientists",65,5,4,3.66666666666667,4.66666666666667,2.33333333333333,3.33333333333333
"20","5/13/2014 6:19","5/13/2014 6:26",1,"Educated",NA,1,NA,1,6,5,2,5,6,5,5,6,6,4,1,5,5,2,5,1,4,1,187,1,6,NA,"Educated",43,4.33333333333333,5.33333333333333,5.66666666666667,3.33333333333333,4,2
"21","5/13/2014 6:23","5/13/2014 6:26",1,"Educated",NA,1,NA,1,7,6,3,4,6,7,7,7,6,2,2,2,7,7,7,4,7,3,187,1,2,NA,"Scientists",63,5.33333333333333,5.66666666666667,6.66666666666667,2,7,4.66666666666667
"22","5/13/2014 6:20","5/13/2014 6:27",1,"Educated",NA,1,NA,1,6,4,4,7,5,4,4,4,4,2,3,5,4,4,4,4,4,4,187,2,5,NA,"Educated",53,4.66666666666667,5.33333333333333,4,3.33333333333333,4,4
"23","5/13/2014 6:29","5/13/2014 6:34",1,"Educated",NA,1,NA,1,4,4,2,5,4,5,4,4,4,4,3,4,4,4,4,4,4,4,187,1,7,NA,"Educated",40,3.33333333333333,4.66666666666667,4,3.66666666666667,4,4
"24","5/13/2014 6:36","5/13/2014 6:38",1,"Educated",NA,1,NA,1,7,7,6,6,7,6,7,6,7,7,6,5,6,7,7,6,7,6,187,2,6,NA,"Scientists",46,6.66666666666667,6.33333333333333,6.66666666666667,6,6.66666666666667,6.33333333333333
