V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,vid,gc,quota,Respondent_Group,term,Screening,Condition,Intro,Consent,Reason_NC,CheckGroup,Intro_S,Q1_S_Ob,Q2_S_Ob,Q3_S_Ob,Q4_S,Q5_S_Ra,Q6_S_Ra,Q7_S_Op,Q8_S_Op,Q9_S_Op,Q10_S_IQ,Q11_S_IQ,Q12_S_IQ,Q13_S_In,Q14_S_In,Q15_S_In,Q16_S_Co,Q17_S_Co,Q18_S_Co,Intro_H,Q1_H_Ob,Q2_H_Ob,Q3_H_Ob,Q4_H_Ra,Q5_H_Ra,Q6_H_Ra,Q7_H_Op,Q8_H_Op,Q9_H_Op,Q10_H_IQ,Q11_H_IQ,Q12_H_IQ,Q13_H_In,Q14_H_In,Q15_H_In,Q16_H_Co,Q17_H_Co,Q18_H_Co,Intro_dem,Dem_countr,Dem_y_born,Dem_gender,Dem_occup,Dem_occup_TEXT,Dem_relig,Feedback,DO-BR-FL_19,DO-BL-Scientists,DO-BL-Highly_educated_people,LocationLatitude,LocationLongitude,LocationAccuracy
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,vid,gc,quota,Respondent_Group,term,Screening,Condition,"Dear respondent, /  /    /  /  Thank you for your interest in our /  survey.  /    /  /  We will only report /  results of our survey aggregated (averaged) over many different /  respondents so that your answers will...","Before you start, please indicate / that you have read the above and agree to participate:",You have indicated that you do not wish to participate in this / study.  /   /  Thank you for your time.  /  /   /  If there is a specific reason why you do not wish to participate /  that you want to share with...,This question is to check whether you're indeed a member of the /  respondent group we're interested in for this study: /  /  Please indicate which answer applies to you:,"Below, /  you will read a series of statements about the /  typical scientist.  /  /    /  /  By /  ‘scientist’, we mean a person who is trained in a science and /  whose job involves doing scientific research or...",A scientist is capable of suppressing personal biases in the / interest of objective inquiry.,A scientist assesses relevant information without prejudicial /  distortions.,A scientist exhibits little emotionality with respect to his/her / beliefs.,A scientist has excellent problem-solving skills.,A scientist can readily discriminate between illogical and logical / reasoning.,A scientist is logical in his/her professional problem solving.,A scientist suspends judgment when faced with insufficient or / ambiguous information.,A scientist is generally willing to acknowledge evidence that goes / against his/her beliefs.,A scientist is willing to change his/her beliefs when / confronted with contrary evidence.,Standard measures of intelligence are a good predictor of the / performance of a scientist.,Superior intelligence is a prerequisite for a successful career of / a scientist.,A scientist has a very high IQ score.,A scientist conducts his/her work with integrity.,A scientist does not engage in unethical behavior to advance / his/her career.,A scientist does not commit fraud in his/her work.,A scientist does not withhold information from his/her colleagues / to protect his/her own interests.,A scientist exhibits cooperative rather than competitive behavior.,A scientist is not interested in personal fame or recognition.,"Below, you will read a series of /  statements about the /  typical highly-educated /  person.   /  /    /  /  By ‘a highly-educated /  person’, we mean a person who obtained a Bachelor's Degree or a /  Master's Deg...",A highly-educated person is capable of suppressing personal biases / in the interest of objective inquiry.,A highly-educated person assesses relevant information /  without prejudicial distortions.,A highly-educated person exhibits little emotionality / with respect to his/her beliefs.,A highly-educated person has excellent problem-solving /  skills.,A highly-educated person can readily discriminate between / illogical and logical reasoning.,A highly-educated person is logical in his/her / professional problem solving.,A highly-educated person suspends judgment when faced / with insufficient or ambiguous information.,A highly-educated person is willing to acknowledge / evidence that goes against his/her beliefs.,A highly-educated person is willing to change his/her / beliefs when confronted with contrary evidence.,Standard measures of intelligence are a good predictor of the / performance of a highly-educated person.,Superior intelligence is a prerequisite for a successful career of / a highly-educated person.,A highly-educated person has a very high IQ score.,A highly-educated person conducts his/her work with / integrity.,A highly-educated person does not engage in unethical / behavior to advance his/her career.,A highly-educated person does not commit fraud in his/her / work. ,A highly-educated person does not withhold information / from his/her colleagues to protect his/her own interests.,A highly-educated person exhibits cooperative rather than / competitive behavior.,A highly-educated person is not interested in personal / fame or recognition.,"Finally, we would like to ask you a few demographic questions:",List of Countries,What year were you born?,What is your gender?,What is your occupation? ,What is your occupation? -TEXT,And the final question: /   /  To what extent do you agree with the following statement? /   /   /    /   /    /   /   /  I consider myself religious,"This is the end of the questionnaire. Before we display some / additional information about our study, we would like to offer you / the opportunity to write down any comments, thoughts, ideas or / sugges...",Display Order: Block Randomizer FL_19,Display Order: Scientists,Display Order: Highly_educated_people,LocationLatitude,LocationLongitude,LocationAccuracy
R_6hTHXUIc7P03k2x,Default Response Set,Anonymous,,,24.181.237.21,0,5/13/2014 5:00,5/13/2014 5:03,1,26776234-6e4e-41ad-9de5-ab4feafd82e7,1,,Educated,,,Educated_Educated,1,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,4,5,6,6,4,6,6,5,3,5,5,4,4,4,4,4,1,187,54,2,7,disabled,40,,,,,,,
R_3xxhPx4eRPuM5EN,Default Response Set,Anonymous,,,74.98.0.247,0,5/13/2014 5:08,5/13/2014 5:12,1,ba5336d8-5afd-4b3a-80e2-e62f536938bf,1,,Educated,,,Educated_Educated,1,1,,1,,,,,,,,,,,,,,,,,,,,1,6,5,3,3,4,3,6,6,6,2,3,3,6,4,6,6,5,6,1,187,28,1,7,Retired,43,,,,,,,
R_6zEw82pxN83zSPH,Default Response Set,Anonymous,,,12.162.188.76,0,5/13/2014 5:05,5/13/2014 5:14,1,e533941e-4174-4604-bb8d-fe00ef5491ed,1,,Educated,,,Educated_Scientists,1,1,,1,1,3,5,5,5,5,5,5,3,3,5,5,5,5,3,3,3,5,3,,,,,,,,,,,,,,,,,,,,1,187,51,2,7,genealogist,44,,,,,,,
R_3NL596n39TI0X6R,Default Response Set,Anonymous,,,76.231.20.89,0,5/13/2014 5:09,5/13/2014 5:14,1,f993858f-9223-4202-a72c-3348851fbb63,1,,Educated,,,Educated_Scientists,1,1,,1,1,5,5,5,6,6,5,6,6,6,4,4,6,6,7,7,6,6,6,,,,,,,,,,,,,,,,,,,,1,187,26,2,7,retired,42,,,,,,,
R_0jomqFmj0ktw7lP,Default Response Set,Anonymous,,,192.200.105.219,0,5/13/2014 5:19,5/13/2014 5:22,1,8f6f9865-3fb9-41d4-9414-427264c5624b,1,,Educated,,,Educated_Scientists,1,1,,1,1,5,6,5,5,6,6,5,5,5,5,6,5,6,6,6,5,5,6,,,,,,,,,,,,,,,,,,,,1,187,61,1,6,,43,,,,,,,
R_a9mnkBACAakvNL7,Default Response Set,Anonymous,,,96.232.252.248,0,5/13/2014 5:20,5/13/2014 5:22,1,e7810d26-73f8-48a2-949a-624af4bf0154,1,,Educated,,,Educated_Educated,1,1,,2,,,,,,,,,,,,,,,,,,,,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,187,52,1,7,admin,39,,,,,,,
R_81FUBjOJNsdhXfv,Default Response Set,Anonymous,,,75.82.10.211,0,5/13/2014 5:26,5/13/2014 5:28,1,dcf4640e-feb6-4cd0-962f-80f362d7fbc5,1,,Educated,,,Educated_Educated,1,1,,2,,,,,,,,,,,,,,,,,,,,1,6,6,6,6,7,6,6,5,6,6,7,6,6,7,6,6,6,5,1,187,44,2,7,cpa,44,,,,,,,
R_2sM8QT8M2nurrh3,Default Response Set,Anonymous,,,71.89.84.211,0,5/13/2014 5:25,5/13/2014 5:28,1,6d42786d-6689-43ae-86ee-0a0646be2dc3,1,,Educated,,,Educated_Scientists,1,1,,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,6,2,,,,,,,,,,,,,,,,,,,,1,187,63,1,7,CPA,43,,,,,,,
R_cN2JSWWhqFElXU1,Default Response Set,Anonymous,,,174.62.87.24,0,5/13/2014 5:32,5/13/2014 5:35,1,cd794a8f-9dd2-4815-8c21-ffa762f59035,1,,Educated,,,Educated_Scientists,1,1,,2,1,6,7,6,7,7,6,5,6,6,6,5,6,7,6,6,7,7,5,,,,,,,,,,,,,,,,,,,,1,187,32,2,7,sales,38,,,,,,,
