Old_name;New_name
V1;delete1
V2;delete2
V3;delete3
V4;delete4
V5;delete5
V6;delete6
V7;delete7
V8;Start_time
V9;End_time
V10;Finished
vid;delete8
gc;delete9
quota;delete10
Respondent_Group;Respondent_group
term;delete11
Screening;Screening
Condition;Condition
Intro;delete12
Consent;Consent
Reason_NC;Reason_nc
CheckGroup;Check_group
Intro_S;delete13
Q1_S_Ob;S_ob1
Q2_S_Ob;S_ob2
Q3_S_Ob;S_ob3
Q4_S;S_ra1
Q5_S_Ra;S_ra2
Q6_S_Ra;S_ra3
Q7_S_Op;S_op1
Q8_S_Op;S_op2
Q9_S_Op;S_op3
Q10_S_IQ;S_iq1
Q11_S_IQ;S_iq2
Q12_S_IQ;S_iq3
Q13_S_In;S_in1
Q14_S_In;S_in2
Q15_S_In;S_in3
Q16_S_Co;S_co1
Q17_S_Co;S_co2
Q18_S_Co;S_co3
Intro_H;delete14
Q1_H_Ob;H_ob1
Q2_H_Ob;H_ob2
Q3_H_Ob;H_ob3
Q4_H_Ra;H_Ra1
Q5_H_Ra;H_Ra2
Q6_H_Ra;H_Ra3
Q7_H_Op;H_Op1
Q8_H_Op;H_Op2
Q9_H_Op;H_Op3
Q10_H_IQ;H_Iq1
Q11_H_IQ;H_Iq2
Q12_H_IQ;H_Iq3
Q13_H_In;H_In1
Q14_H_In;H_In2
Q15_H_In;H_In3
Q16_H_Co;H_Co1
Q17_H_Co;H_Co2
Q18_H_Co;H_Co3
Intro_dem;delete15
Dem_countr;Country
Dem_y_born;Year_born
Dem_gender;Gender
Dem_occup;Occupation
Dem_occup_TEXT;Occupation_other
Dem_relig;Religiousness
Feedback;Feedback
DO-BR-FL_19;delete16
DO-BL-Scientists;delete17
DO-BL-Highly_educated_people;delete18
LocationLatitude;delete19
LocationLongitude;delete20
LocationAccuracy;delete21
