V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Respondent_Group,Screening,Intro,Consent,Reason_NC,CheckGroup,Intro_S,Q1_S_Ob,Q2_S_Ob,Q3_S_Ob,Q4_S,Q5_S_Ra,Q6_S_Ra,Q7_S_Op,Q8_S_Op,Q9_S_Op,Q10_S_IQ,Q11_S_IQ,Q12_S_IQ,Q13_S_In,Q14_S_In,Q15_S_In,Q16_S_Co,Q17_S_Co,Q18_S_Co,Intro_dem,Dem_countr,Dem_y_born,Dem_gender,Dem_occup,Dem_occup_TEXT,Dem_relig,Feedback,DO-BL-Scientists,DO-BL-Highly_educated_people,LocationLatitude,LocationLongitude,LocationAccuracy
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,Respondent_Group,Screening,"Dear Dr ${m://LastName}, /  /    /  /  Thank you for your interest in our /  survey. /    /  /  We will only report /  results of our survey aggregated (averaged) over many different /  respondents so that your answer...","Before you start, please indicate / that you have read the above and agree to participate:","You have indicated that you do not wish to participate in this / study.  /   /  Thank you for your time. In the invitation e-mail that you /  received, you will find a link that you can click on to opt out...",This question is to check whether you're indeed a member of the /  respondent group we're interested in for this study: /  /  Please indicate which answer applies to you:,"Below, you will read a series of /  statements about the typical /  scientist.  /  /    /  /  By ‘scientist’, we mean a person who /  is trained in a science and whose job involves doing scientific /  research or...",A scientist is capable of suppressing personal biases in the / interest of objective inquiry.,A scientist assesses relevant information without prejudicial /  distortions.,A scientist exhibits little emotionality with respect to his/her / beliefs.,A scientist has excellent problem-solving skills.,A scientist can readily discriminate between illogical and logical / reasoning.,A scientist is logical in his/her professional problem solving.,A scientist suspends judgment when faced with insufficient or / ambiguous information.,A scientist is generally willing to acknowledge evidence that goes / against his/her beliefs.,A scientist is willing to change his/her beliefs when / confronted with contrary evidence.,Standard measures of intelligence are a good predictor of the / performance of a scientist.,Superior intelligence is a prerequisite for a successful career of / a scientist.,A scientist has a very high IQ score.,A scientist conducts his/her work with integrity.,A scientist does not engage in unethical behavior to advance / his/her career.,A scientist does not commit fraud in his/her work.,A scientist does not withhold information from his/her colleagues / to protect his/her own interests.,A scientist exhibits cooperative rather than competitive behavior.,A scientist is not interested in personal fame or recognition.,"Finally, we would like to ask you a few demographic questions:",List of Countries,What year were you born?,What is your gender?,What is your occupation? ,What is your occupation? -TEXT,And the final question:  /   /  To what extent do you agree with the following statement? /   /   /    /   /    /   /   /  I consider myself religious,"This is the end of the questionnaire. Before we display some / additional information about our study, we would like to offer you / the opportunity to write down any comments, thoughts, ideas or / sugges...",Display Order: Scientists,Display Order: Highly_educated_people,LocationLatitude,LocationLongitude,LocationAccuracy
R_bHJopiL1FRvQR3T,Default Response Set,,,,,0,5/12/2014 12:32,5/12/2014 12:41,1,Scientists,,1,1,,1,1,6,6,3,5,6,5,6,6,6,3,2,3,6,5,6,5,5,3,1,187,36,1,6,,41,,,,,,
R_ebquMvF7Tgd4Abb,Default Response Set,,,,,0,5/12/2014 21:36,5/12/2014 21:45,1,Scientists,,1,1,,1,1,6,7,5,6,6,6,6,6,6,5,6,4,6,7,7,7,5,3,1,187,18,1,6,,39,,,,,,
R_88juG4B9LqSC8ER,Default Response Set,,,,,0,5/14/2014 10:27,5/14/2014 10:34,1,Scientists,,1,1,,1,1,7,6,6,7,7,7,7,7,7,5,5,4,6,7,7,7,7,3,1,169,14,1,6,,41,,,,,,
R_d1q4BbeZ8RVHgZn,Default Response Set,,,,,0,5/14/2014 11:26,5/14/2014 11:30,1,Scientists,,1,1,,1,1,6,6,5,5,6,6,6,6,6,5,6,6,6,6,6,4,6,2,1,65,17,1,6,,41,,,,,,
R_1AGGA5iDxGPMKKF,Default Response Set,,,,,0,5/14/2014 12:14,5/14/2014 12:21,1,Scientists,,1,1,,1,1,5,5,2,6,7,7,6,6,5,5,5,5,6,6,6,6,4,2,1,185,21,1,6,,42,,,,,,
R_3BM2l5h6YRVoy69,Default Response Set,,,,,0,5/14/2014 12:22,5/14/2014 12:33,1,Scientists,,1,1,,1,1,4,6,6,6,6,6,6,6,6,4,6,6,5,5,5,5,3,2,1,169,2,1,6,,39,,,,,,
R_6m0ERwkMu6X417L,Default Response Set,,,,,0,5/14/2014 12:55,5/14/2014 12:56,1,Scientists,,1,1,,1,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,,-99,,,,,,
R_bdeDo1pXvmnRqLz,Default Response Set,,,,,0,5/14/2014 13:28,5/14/2014 13:33,1,Scientists,,1,1,,1,1,5,6,2,5,6,6,6,6,6,5,6,6,6,6,6,5,5,3,1,187,15,1,6,,38,,,,,,
R_8djvck59D1uIu8J,Default Response Set,,,,,0,5/14/2014 13:56,5/14/2014 14:01,1,Scientists,,1,1,,1,1,6,5,5,7,6,6,5,7,7,5,5,5,5,2,7,5,3,1,1,187,25,1,6,,40,,,,,,
