Old_name;New_name
V1;delete1
V2;delete2
V3;delete3
V4;delete4
V5;delete5
V6;delete6
V7;delete7
V8;Start_time
V9;End_time
V10;Finished
Respondent_Group;Respondent_group
Screening;Screening
Intro;delete8
Consent;Consent
Reason_NC;Reason_nc
CheckGroup;Check_group
Intro_S;delete9
Q1_S_Ob;S_ob1
Q2_S_Ob;S_ob2
Q3_S_Ob;S_ob3
Q4_S;S_ra1
Q5_S_Ra;S_ra2
Q6_S_Ra;S_ra3
Q7_S_Op;S_op1
Q8_S_Op;S_op2
Q9_S_Op;S_op3
Q10_S_IQ;S_iq1
Q11_S_IQ;S_iq2
Q12_S_IQ;S_iq3
Q13_S_In;S_in1
Q14_S_In;S_in2
Q15_S_In;S_in3
Q16_S_Co;S_co1
Q17_S_Co;S_co2
Q18_S_Co;S_co3
Intro_dem;delete10
Dem_countr;Country
Dem_y_born;Year_born
Dem_gender;Gender
Dem_occup;Occupation
Dem_occup_TEXT;Occupation_other
Dem_relig;Religiousness
Feedback;Feedback
DO-BL-Scientists;delete11
DO-BL-Highly_educated_people;delete12
LocationLatitude;delete13
LocationLongitude;delete14
LocationAccuracy;delete15
