V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Respondent_Group,Screening,Condition,Intro,Consent,Reason_NC,CheckPhD,CheckGroup,Intro_S,Q1_S_Ob,Q2_S_Ob,Q3_S_Ob,Q4_S,Q5_S_Ra,Q6_S_Ra,Q7_S_Op,Q8_S_Op,Q9_S_Op,Q10_S_IQ,Q11_S_IQ,Q12_S_IQ,Q13_S_In,Q14_S_In,Q15_S_In,Q16_S_Co,Q17_S_Co,Q18_S_Co,Intro_H,Q1_H_Ob,Q2_H_Ob,Q3_H_Ob,Q4_H_Ra,Q5_H_Ra,Q6_H_Ra,Q7_H_Op,Q8_H_Op,Q9_H_Op,Q10_H_IQ,Q11_H_IQ,Q12_H_IQ,Q13_H_In,Q14_H_In,Q15_H_In,Q16_H_Co,Q17_H_Co,Q18_H_Co,Intro_dem,Dem_countr,Dem_y_born,Dem_yr_PhD,Dem_gender,Dem_relig,Feedback,DO-BR-FL_13,DO-BL-Scientists,DO-BL-Highly_educated_people,LocationLatitude,LocationLongitude,LocationAccuracy
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,Respondent_Group,Screening,Condition,"Dear Dr ${m://LastName}, /  /    /  /  Thank you for your interest in our /  survey. /    /  /  We will only report /  results of our survey aggregated (averaged) over many different /  respondents so that your answer...","Before you start, please indicate / that you have read the above and agree to participate:","You have indicated that you do not wish to participate in this / study.  /   /  Thank you for your time. In the invitation e-mail that you /  received, you will find a link that you can click on to opt out...",This question is to check whether you're indeed a member of the /  respondent group we're interested in for this study: /  /   /  Please indicate the answer that applies to you:,This is another question to check whether you're indeed a member /  of the respondent group we're interested in for this study: /  /   /  Please indicate the answer that applies to you:,"Below, you will read a series of /  statements about the typical /  scientist.  /  /    /  /  By ‘scientist’, we mean a person who /  is trained in a science and whose job involves doing scientific /  research or...",A scientist is capable of suppressing personal biases in the / interest of objective inquiry.,A scientist assesses relevant information without prejudicial /  distortions.,A scientist exhibits little emotionality with respect to his/her / beliefs.,A scientist has excellent problem-solving skills.,A scientist can readily discriminate between illogical and logical / reasoning.,A scientist is logical in his/her professional problem solving.,A scientist suspends judgment when faced with insufficient or / ambiguous information.,A scientist is generally willing to acknowledge evidence that goes / against his/her beliefs.,A scientist is willing to change his/her beliefs when / confronted with contrary evidence.,Standard measures of intelligence are a good predictor of the / performance of a scientist.,Superior intelligence is a prerequisite for a successful career of / a scientist.,A scientist has a very high IQ score.,A scientist conducts his/her work with integrity.,A scientist does not engage in unethical behavior to advance / his/her career.,A scientist does not commit fraud in his/her work.,A scientist does not withhold information from his/her colleagues / to protect his/her own interests.,A scientist exhibits cooperative rather than competitive behavior.,A scientist is not interested in personal fame or recognition.,"Below, you will /  read a series of statements about the typical highly-educated /  person.   /  /    /  /  By ‘a /  highly-educated person’, we mean a person who obtained a /  Bachelor's Degree or a Master's Degr...",A highly-educated person is capable of suppressing personal biases / in the interest of objective inquiry.,A highly-educated person assesses relevant information /  without prejudicial distortions.,A highly-educated person exhibits little emotionality / with respect to his/her beliefs.,A highly-educated person has excellent problem-solving /  skills.,A highly-educated person can readily discriminate between / illogical and logical reasoning.,A highly-educated person is logical in his/her / professional problem solving.,A highly-educated person suspends judgment when faced / with insufficient or ambiguous information.,A highly-educated person is willing to acknowledge / evidence that goes against his/her beliefs.,A highly-educated person is willing to change his/her / beliefs when confronted with contrary evidence.,Standard measures of intelligence are a good predictor of the / performance of a highly-educated person.,Superior intelligence is a prerequisite for a successful career of / a highly-educated person.,A highly-educated person has a very high IQ score.,A highly-educated person conducts his/her work with / integrity.,A highly-educated person does not engage in unethical / behavior to advance his/her career.,A highly-educated person does not commit fraud in his/her / work. ,A highly-educated person does not withhold information / from his/her colleagues to protect his/her own interests.,A highly-educated person exhibits cooperative rather than / competitive behavior.,A highly-educated person is not interested in personal / fame or recognition.,"Finally, we would like to ask you a few demographic questions:",List of Countries,What year were you born?,In what year did (or will) you obtain your PhD?,What is your gender?,And the final question:  /   /  To what extent do you agree with the following statement? /   /   /    /   /    /   /   /  I consider myself religious,"This is the end of the questionnaire. Before we display some / additional information about our study, we would like to offer you / the opportunity to write down any comments, thoughts, ideas or / sugges...",Display Order: Block Randomizer FL_13,Display Order: Scientists,Display Order: Highly_educated_people,LocationLatitude,LocationLongitude,LocationAccuracy
R_3qs3LGD8cBX3iZL,Default Response Set,,,,,0,5/12/2014 12:24,5/12/2014 13:26,1,Scientists,,Scientists_Scientists,1,1,,2,,1,3,2,2,7,6,6,5,3,3,5,3,5,6,5,4,6,6,3,,,,,,,,,,,,,,,,,,,,1,65,66,97,1,39,,,,,,,
R_2fwV0usTtCeONJX,Default Response Set,,,,,0,5/13/2014 7:49,5/13/2014 8:08,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,5,6,6,6,5,5,5,3,6,5,5,6,6,6,4,5,3,2,,,,,,,,,,,,,,,,,,,,1,80,59,88,1,42,,,,,,,
R_738OUMZCtL8Iru5,Default Response Set,,,,,0,5/14/2014 10:01,5/14/2014 10:06,1,Scientists,,Scientists_Scientists,1,1,,2,,1,3,2,2,6,6,6,5,5,5,2,3,6,5,5,5,1,4,2,,,,,,,,,,,,,,,,,,,,1,65,67,96,2,43,,,,,,,
R_7QFlCATRrdFx445,Default Response Set,,,,,0,5/14/2014 10:04,5/14/2014 10:07,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,4,3,4,5,5,6,3,3,5,2,3,3,5,5,4,5,5,2,,,,,,,,,,,,,,,,,,,,1,163,53,81,1,44,,,,,,,
R_cSDyV6lCdgmGKK9,Default Response Set,,,,,0,5/14/2014 10:03,5/14/2014 10:08,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,4,5,3,3,5,6,6,6,6,2,3,3,5,4,5,3,5,3,1,122,41,71,1,38,,,,,,,
R_8nUDGDyAHLqI14p,Default Response Set,,,,,0,5/14/2014 10:04,5/14/2014 10:09,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,3,3,2,6,5,5,5,2,3,3,3,5,5,3,5,5,6,3,,,,,,,,,,,,,,,,,,,,1,48,64,95,2,38,,,,,,,
R_eVEuG4OauGMCtzT,Default Response Set,,,,,0,5/14/2014 10:05,5/14/2014 10:10,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,6,3,3,5,3,6,6,5,6,6,4,6,5,2,2,2,2,1,1,36,51,83,1,43,,,,,,,
R_eWCesqSRC5Z01x3,Default Response Set,,,,,0,5/14/2014 10:08,5/14/2014 10:11,1,Scientists,,Scientists_Educated,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,3,5,3,4,7,6,6,6,6,3,5,5,6,3,3,3,3,2,1,84,60,88,2,42,,,,,,,
R_1KNoPIXT5jLqrKB,Default Response Set,,,,,0,5/14/2014 10:08,5/14/2014 10:12,1,Scientists,,Scientists_Scientists,1,1,,1,1,1,5,6,2,6,7,6,3,6,6,4,4,4,6,6,6,6,5,2,,,,,,,,,,,,,,,,,,,,1,185,54,79,1,39,,,,,,,
