"","X","End_time","Finished","Respondent_group","Screening","Consent","Reason_nc","Check_group","Ob_lawyers","Ob_politicians","Ob_journalists","Ob_med_doctors","Ob_accountants","Ob_army_lieutenants","Ob_bankers","Ob_judges","Ob_detectives","Ob_scientists","Ra_lawyers","Ra_politicians","Ra_journalists","Ra_med_doctors","Ra_accountants","Ra_army_lieutenants","Ra_bankers","Ra_judges","Ra_detectives","Ra_scientists","Op_lawyers","Op_politicians","Op_journalists","Op_med_doctors","Op_accountants","Op_army_lieutenants","Op_bankers","Op_judges","Op_detectives","Op_scientists","Iq_lawyers","Iq_politicians","Iq_journalists","Iq_med_doctors","Iq_accountants","Iq_army_lieutenants","Iq_bankers","Iq_judges","Iq_detectives","Iq_scientists","In_lawyers","In_politicians","In_journalists","In_med_doctors","In_accountants","In_army_lieutenants","In_bankers","In_judges","In_detectives","In_scientists","Co_lawyers","Co_politicians","Co_journalists","Co_med_doctors","Co_accountants","Co_army_lieutenants","Co_bankers","Co_judges","Co_detectives","Co_scientists","Country","Year_born","Gender","Religiousness","Feedback"
"1",4,"5/13/2014 4:59",1,"Educated",NA,1,NA,1,49,39,53,80,71,89,59,91,90,85,70,48,71,90,91,93,62,74,90,98,80,71,80,92,79,93,72,97,91,98,71,68,83,91,72,73,72,84,69,94,61,59,67,97,99,100,65,91,88,91,93,94,84,86,73,97,90,70,86,86,187,27,1,39,NA
"2",5,"5/13/2014 4:59",1,"Educated",NA,1,NA,1,80,75,93,87,87,82,74,89,90,100,80,79,83,99,74,77,82,80,79,99,70,60,92,79,59,70,80,70,80,70,90,69,83,100,91,81,82,80,100,99,81,80,80,80,80,80,80,80,80,80,68,60,75,96,77,73,60,76,69,73,187,69,2,39,NA
"3",6,"5/13/2014 5:01",1,"Educated",NA,1,NA,1,50,50,51,49,50,52,51,51,50,51,50,51,51,51,51,51,51,47,51,52,51,51,51,51,50,48,50,45,51,50,47,50,48,50,51,49,50,50,50,52,51,48,51,51,51,54,52,52,50,50,50,50,49,50,49,50,51,50,50,48,187,66,1,39,NA
"4",7,"5/13/2014 5:05",1,"Educated",NA,1,NA,2,50,21,19,59,51,92,50,50,71,61,50,30,31,71,61,91,60,60,70,52,50,19,29,61,50,91,61,59,71,61,50,11,8,70,59,81,60,59,70,70,40,3,4,70,71,100,61,59,81,60,50,29,70,50,50,90,49,50,61,50,187,34,1,41,NA
"5",8,"5/13/2014 5:08",1,"Educated",NA,1,NA,2,61,28,69,70,67,69,69,70,69,71,70,31,62,74,81,80,72,61,62,61,49,30,80,50,50,50,51,50,50,60,81,30,70,80,81,60,81,82,60,80,31,10,71,62,51,70,30,61,70,71,77,79,68,40,39,31,52,41,40,51,187,57,2,38,NA
"6",9,"5/13/2014 5:25",1,"Educated",NA,1,NA,1,32,14,81,72,71,72,27,80,71,78,54,38,81,71,80,69,52,85,72,71,39,25,82,62,39,43,38,70,60,82,59,64,66,68,46,51,60,60,58,66,31,30,81,68,51,81,31,70,64,71,82,81,77,80,51,48,68,32,52,68,187,48,2,43,NA
"7",10,"5/13/2014 5:30",1,"Educated",NA,1,NA,1,8,0,3,70,69,9,10,50,81,50,18,0,10,81,72,9,50,92,70,90,9,0,28,40,28,28,9,60,89,50,70,0,9,100,80,19,59,82,70,91,33,0,3,91,91,44,35,92,81,92,80,80,59,9,18,18,70,40,18,8,187,53,1,42,NA
"8",11,"5/13/2014 5:40",1,"Educated",NA,1,NA,1,2,3,29,80,100,81,50,51,2,80,2,2,8,80,90,51,50,1,21,80,1,9,29,50,50,10,49,1,3,52,50,1,50,95,91,50,50,9,9,80,2,2,50,95,96,61,60,1,1,71,90,82,61,31,19,90,70,49,50,70,187,33,1,42,NA
"9",12,"5/13/2014 5:49",1,"Educated",NA,1,NA,1,50,20,20,90,90,50,90,70,50,90,50,40,40,100,95,90,81,70,80,100,61,30,80,70,50,40,49,40,30,80,95,80,60,95,90,60,80,80,80,90,20,20,30,90,95,60,80,60,80,90,100,100,100,50,25,90,15,15,50,70,187,69,2,43,NA
"10",13,"5/13/2014 5:49",1,"Educated",NA,1,NA,2,85,72,81,53,30,58,57,66,50,69,44,58,65,79,61,76,64,81,39,60,89,58,77,85,57,80,36,58,81,50,78,68,57,59,81,59,68,63,25,100,69,47,59,74,69,39,86,73,73,51,64,60,82,53,66,47,96,79,63,70,187,57,1,41,NA
"11",14,"5/13/2014 5:54",1,"Educated",NA,1,NA,2,31,26,36,63,68,77,58,78,65,86,41,38,56,91,61,83,60,95,85,67,36,39,62,57,59,75,48,75,70,71,77,70,56,98,94,75,55,77,73,97,28,17,28,71,66,86,27,82,90,60,97,78,100,55,38,93,43,45,92,56,187,58,2,39,NA
"12",16,"5/13/2014 23:02",1,"Educated",NA,1,NA,4,19,29,61,71,81,49,40,91,60,60,60,31,60,92,91,59,59,80,82,92,50,8,59,59,69,30,50,82,59,40,80,39,61,91,72,49,48,81,60,81,28,9,39,71,60,60,30,91,81,70,92,91,71,70,39,60,49,49,61,70,187,47,1,38,NA
"13",17,"5/13/2014 23:06",1,"Educated",NA,1,NA,1,53,53,53,71,81,68,56,77,70,87,72,51,60,80,72,61,52,81,72,80,61,62,60,70,69,49,61,69,70,80,51,42,41,81,80,60,50,82,70,100,39,51,42,66,71,64,36,73,52,83,75,78,83,80,57,69,76,67,76,74,187,65,2,38,NA
"14",18,"5/13/2014 23:10",1,"Educated",NA,1,NA,2,67,51,69,68,65,59,49,68,65,77,66,54,53,72,59,60,62,62,70,72,49,46,52,72,42,58,45,74,47,68,60,58,39,79,50,42,49,61,52,90,55,51,64,69,69,57,47,88,58,62,82,77,80,79,57,66,80,73,74,79,187,12,2,39,NA
"15",19,"5/13/2014 23:12",1,"Educated",NA,1,NA,2,8,19,100,96,80,63,79,100,99,100,71,31,100,89,81,38,88,95,89,100,55,25,100,73,83,59,75,95,88,100,78,81,75,91,80,98,78,87,67,96,27,14,95,79,60,79,95,95,80,83,92,69,40,70,48,31,100,17,43,12,187,47,1,44,NA
