V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Respondent_Group,Screening,Intro,Consent,Reason_NC,Check_PhD,CheckGroup,Intro_1,Objectivit_1,Objectivit_2,Objectivit_3,Objectivit_4,Objectivit_5,Objectivit_6,Objectivit_7,Objectivit_8,Objectivit_9,Objectivit_10,Rationalit_1,Rationalit_2,Rationalit_3,Rationalit_4,Rationalit_5,Rationalit_6,Rationalit_7,Rationalit_8,Rationalit_9,Rationalit_10,Open-mind_1,Open-mind_2,Open-mind_3,Open-mind_4,Open-mind_5,Open-mind_6,Open-mind_7,Open-mind_8,Open-mind_9,Open-mind_10,Intelligen_1,Intelligen_2,Intelligen_3,Intelligen_4,Intelligen_5,Intelligen_6,Intelligen_7,Intelligen_8,Intelligen_9,Intelligen_10,Integrity_1,Integrity_2,Integrity_3,Integrity_4,Integrity_5,Integrity_6,Integrity_7,Integrity_8,Integrity_9,Integrity_10,Competitiv_1,Competitiv_2,Competitiv_3,Competitiv_4,Competitiv_5,Competitiv_6,Competitiv_7,Competitiv_8,Competitiv_9,Competitiv_10,Dem_intro,Dem_countr,Dem_born,Dem_yr_PhD,Dem_gender,Dem_relig,Feedback,LocationLatitude,LocationLongitude,LocationAccuracy
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,Respondent_Group,Screening,"Dear Dr ${m://LastName}, /  /    /  /  Thank you for your interest in our /  survey.  /  /    /  /  We /  will only report results of our survey aggregated (averaged) over /  many different respondents so that your answ...","Before you start, please indicate that you have read the above and / agree to participate:","You have indicated that you do not wish to participate in this / study.  /   /  Thank you for your time. In the invitation e-mail that you /  received, you will find a link that you can click on to opt out...",This question is to check whether you're indeed a member of the /  respondent group we're interested in for this study: /  /   /  Please indicate the answer that applies to you:,This is another question to check whether you're indeed a member /  of the respondent group we're interested in for this study: /  /   /  Please indicate the answer that applies to you:,"On the following pages, you will /  find a series of six characteristics. Below each characteristic, /  10 professions are listed. /    /  /  For each /  characteristic, /  please indicate how much the character...",Please indicate how much the characteristic applies to /  the typical person with /  this occupation by moving the slider /  bars.  /  /   /    /   /   /  Important: please indicate how much you /  believe the charact...-Lawyers,Please indicate how much the characteristic applies to /  the typical person with /  this occupation by moving the slider /  bars.  /  /   /    /   /   /  Important: please indicate how much you /  believe the charact...-Politicians,Please indicate how much the characteristic applies to /  the typical person with /  this occupation by moving the slider /  bars.  /  /   /    /   /   /  Important: please indicate how much you /  believe the charact...-Journalists,Please indicate how much the characteristic applies to /  the typical person with /  this occupation by moving the slider /  bars.  /  /   /    /   /   /  Important: please indicate how much you /  believe the charact...-Medical Doctors,Please indicate how much the characteristic applies to /  the typical person with /  this occupation by moving the slider /  bars.  /  /   /    /   /   /  Important: please indicate how much you /  believe the charact...-Accountants,Please indicate how much the characteristic applies to /  the typical person with /  this occupation by moving the slider /  bars.  /  /   /    /   /   /  Important: please indicate how much you /  believe the charact...-Army Lieutenants,Please indicate how much the characteristic applies to /  the typical person with /  this occupation by moving the slider /  bars.  /  /   /    /   /   /  Important: please indicate how much you /  believe the charact...-Bankers,Please indicate how much the characteristic applies to /  the typical person with /  this occupation by moving the slider /  bars.  /  /   /    /   /   /  Important: please indicate how much you /  believe the charact...-Judges,Please indicate how much the characteristic applies to /  the typical person with /  this occupation by moving the slider /  bars.  /  /   /    /   /   /  Important: please indicate how much you /  believe the charact...-Detectives,Please indicate how much the characteristic applies to /  the typical person with /  this occupation by moving the slider /  bars.  /  /   /    /   /   /  Important: please indicate how much you /  believe the charact...-Scientists,Please indicate how much the characteristic applies to /  the typical person with /  this occupation by moving the slider /  bars.  /  /   /    /   /   /  Important: please indicate how much you /  believe the charact...-Lawyers,Please indicate how much the characteristic applies to /  the typical person with /  this occupation by moving the slider /  bars.  /  /   /    /   /   /  Important: please indicate how much you /  believe the charact...-Politicians,Please indicate how much the characteristic applies to /  the typical person with /  this occupation by moving the slider /  bars.  /  /   /    /   /   /  Important: please indicate how much you /  believe the charact...-Journalists,Please indicate how much the characteristic applies to /  the typical person with /  this occupation by moving the slider /  bars.  /  /   /    /   /   /  Important: please indicate how much you /  believe the charact...-Medical Doctors,Please indicate how much the characteristic applies to /  the typical person with /  this occupation by moving the slider /  bars.  /  /   /    /   /   /  Important: please indicate how much you /  believe the charact...-Accountants,Please indicate how much the characteristic applies to /  the typical person with /  this occupation by moving the slider /  bars.  /  /   /    /   /   /  Important: please indicate how much you /  believe the charact...-Army Lieutenants,Please indicate how much the characteristic applies to /  the typical person with /  this occupation by moving the slider /  bars.  /  /   /    /   /   /  Important: please indicate how much you /  believe the charact...-Bankers,Please indicate how much the characteristic applies to /  the typical person with /  this occupation by moving the slider /  bars.  /  /   /    /   /   /  Important: please indicate how much you /  believe the charact...-Judges,Please indicate how much the characteristic applies to /  the typical person with /  this occupation by moving the slider /  bars.  /  /   /    /   /   /  Important: please indicate how much you /  believe the charact...-Detectives,Please indicate how much the characteristic applies to /  the typical person with /  this occupation by moving the slider /  bars.  /  /   /    /   /   /  Important: please indicate how much you /  believe the charact...-Scientists,Please indicate how much the characteristic applies to /  the typical person with /  this occupation by moving the slider /  bars.  /  /   /    /   /   /  Important: please indicate how much you /  believe the charact...-Lawyers,Please indicate how much the characteristic applies to /  the typical person with /  this occupation by moving the slider /  bars.  /  /   /    /   /   /  Important: please indicate how much you /  believe the charact...-Politicians,Please indicate how much the characteristic applies to /  the typical person with /  this occupation by moving the slider /  bars.  /  /   /    /   /   /  Important: please indicate how much you /  believe the charact...-Journalists,Please indicate how much the characteristic applies to /  the typical person with /  this occupation by moving the slider /  bars.  /  /   /    /   /   /  Important: please indicate how much you /  believe the charact...-Medical Doctors,Please indicate how much the characteristic applies to /  the typical person with /  this occupation by moving the slider /  bars.  /  /   /    /   /   /  Important: please indicate how much you /  believe the charact...-Accountants,Please indicate how much the characteristic applies to /  the typical person with /  this occupation by moving the slider /  bars.  /  /   /    /   /   /  Important: please indicate how much you /  believe the charact...-Army Lieutenants,Please indicate how much the characteristic applies to /  the typical person with /  this occupation by moving the slider /  bars.  /  /   /    /   /   /  Important: please indicate how much you /  believe the charact...-Bankers,Please indicate how much the characteristic applies to /  the typical person with /  this occupation by moving the slider /  bars.  /  /   /    /   /   /  Important: please indicate how much you /  believe the charact...-Judges,Please indicate how much the characteristic applies to /  the typical person with /  this occupation by moving the slider /  bars.  /  /   /    /   /   /  Important: please indicate how much you /  believe the charact...-Detectives,Please indicate how much the characteristic applies to /  the typical person with /  this occupation by moving the slider /  bars.  /  /   /    /   /   /  Important: please indicate how much you /  believe the charact...-Scientists,Please indicate how much the characteristic applies to /  the typical person with /  this occupation by moving the slider /  bars.  /  /   /    /   /   /  Important: please indicate how much you /  believe the charact...-Lawyers,Please indicate how much the characteristic applies to /  the typical person with /  this occupation by moving the slider /  bars.  /  /   /    /   /   /  Important: please indicate how much you /  believe the charact...-Politicians,Please indicate how much the characteristic applies to /  the typical person with /  this occupation by moving the slider /  bars.  /  /   /    /   /   /  Important: please indicate how much you /  believe the charact...-Journalists,Please indicate how much the characteristic applies to /  the typical person with /  this occupation by moving the slider /  bars.  /  /   /    /   /   /  Important: please indicate how much you /  believe the charact...-Medical Doctors,Please indicate how much the characteristic applies to /  the typical person with /  this occupation by moving the slider /  bars.  /  /   /    /   /   /  Important: please indicate how much you /  believe the charact...-Accountants,Please indicate how much the characteristic applies to /  the typical person with /  this occupation by moving the slider /  bars.  /  /   /    /   /   /  Important: please indicate how much you /  believe the charact...-Army Lieutenants,Please indicate how much the characteristic applies to /  the typical person with /  this occupation by moving the slider /  bars.  /  /   /    /   /   /  Important: please indicate how much you /  believe the charact...-Bankers,Please indicate how much the characteristic applies to /  the typical person with /  this occupation by moving the slider /  bars.  /  /   /    /   /   /  Important: please indicate how much you /  believe the charact...-Judges,Please indicate how much the characteristic applies to /  the typical person with /  this occupation by moving the slider /  bars.  /  /   /    /   /   /  Important: please indicate how much you /  believe the charact...-Detectives,Please indicate how much the characteristic applies to /  the typical person with /  this occupation by moving the slider /  bars.  /  /   /    /   /   /  Important: please indicate how much you /  believe the charact...-Scientists,Please indicate how much the characteristic applies to /  the typical person with /  this occupation by moving the slider /  bars.  /  /   /    /   /   /  Important: please indicate how much you /  believe the charact...-Lawyers,Please indicate how much the characteristic applies to /  the typical person with /  this occupation by moving the slider /  bars.  /  /   /    /   /   /  Important: please indicate how much you /  believe the charact...-Politicians,Please indicate how much the characteristic applies to /  the typical person with /  this occupation by moving the slider /  bars.  /  /   /    /   /   /  Important: please indicate how much you /  believe the charact...-Journalists,Please indicate how much the characteristic applies to /  the typical person with /  this occupation by moving the slider /  bars.  /  /   /    /   /   /  Important: please indicate how much you /  believe the charact...-Medical Doctors,Please indicate how much the characteristic applies to /  the typical person with /  this occupation by moving the slider /  bars.  /  /   /    /   /   /  Important: please indicate how much you /  believe the charact...-Accountants,Please indicate how much the characteristic applies to /  the typical person with /  this occupation by moving the slider /  bars.  /  /   /    /   /   /  Important: please indicate how much you /  believe the charact...-Army Lieutenants,Please indicate how much the characteristic applies to /  the typical person with /  this occupation by moving the slider /  bars.  /  /   /    /   /   /  Important: please indicate how much you /  believe the charact...-Bankers,Please indicate how much the characteristic applies to /  the typical person with /  this occupation by moving the slider /  bars.  /  /   /    /   /   /  Important: please indicate how much you /  believe the charact...-Judges,Please indicate how much the characteristic applies to /  the typical person with /  this occupation by moving the slider /  bars.  /  /   /    /   /   /  Important: please indicate how much you /  believe the charact...-Detectives,Please indicate how much the characteristic applies to /  the typical person with /  this occupation by moving the slider /  bars.  /  /   /    /   /   /  Important: please indicate how much you /  believe the charact...-Scientists,Please indicate how much the characteristic applies to /  the typical person with /  this occupation by moving the slider /  bars.  /  /   /    /   /   /  Important: please indicate how much you /  believe the charact...-Lawyers,Please indicate how much the characteristic applies to /  the typical person with /  this occupation by moving the slider /  bars.  /  /   /    /   /   /  Important: please indicate how much you /  believe the charact...-Politicians,Please indicate how much the characteristic applies to /  the typical person with /  this occupation by moving the slider /  bars.  /  /   /    /   /   /  Important: please indicate how much you /  believe the charact...-Journalists,Please indicate how much the characteristic applies to /  the typical person with /  this occupation by moving the slider /  bars.  /  /   /    /   /   /  Important: please indicate how much you /  believe the charact...-Medical Doctors,Please indicate how much the characteristic applies to /  the typical person with /  this occupation by moving the slider /  bars.  /  /   /    /   /   /  Important: please indicate how much you /  believe the charact...-Accountants,Please indicate how much the characteristic applies to /  the typical person with /  this occupation by moving the slider /  bars.  /  /   /    /   /   /  Important: please indicate how much you /  believe the charact...-Army Lieutenants,Please indicate how much the characteristic applies to /  the typical person with /  this occupation by moving the slider /  bars.  /  /   /    /   /   /  Important: please indicate how much you /  believe the charact...-Bankers,Please indicate how much the characteristic applies to /  the typical person with /  this occupation by moving the slider /  bars.  /  /   /    /   /   /  Important: please indicate how much you /  believe the charact...-Judges,Please indicate how much the characteristic applies to /  the typical person with /  this occupation by moving the slider /  bars.  /  /   /    /   /   /  Important: please indicate how much you /  believe the charact...-Detectives,Please indicate how much the characteristic applies to /  the typical person with /  this occupation by moving the slider /  bars.  /  /   /    /   /   /  Important: please indicate how much you /  believe the charact...-Scientists,"Finally, we would like to ask you a few demographic questions:",List of Countries,What year were you born?,In what year did (or will) you obtain your PhD?,What is your gender?,And the final question:  /   /  To what extent do you agree with the following statement? /   /   /    /   /    /   /   /  I consider myself religious,"This is the end of the questionnaire. Before we display some / additional information about our study, we would like to offer you / the opportunity to write down any comments, thoughts, ideas or / sugges...",LocationLatitude,LocationLongitude,LocationAccuracy
R_06y0KYQQxtrDxvn,Default Response Set,,,,,0,5/12/2014 16:38,5/12/2014 16:39,1,Scientists,,1,1,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_6EukAPyxQWZlimN,Default Response Set,,,,,0,5/14/2014 8:43,5/14/2014 8:54,1,Scientists,,1,1,,1,1,1,80,49,20,40,87,50,48,29,29,40,90,70,35,80,80,9,50,80,50,68,67,90,91,65,9,3,50,28,80,79,70,60,60,70,5,40,40,70,20,70,49,5,39,51,71,90,4,74,50,49,59,94,82,62,11,20,60,51,32,66,1,187,52,95,2,38,,,,
R_bNKJbmVmlO4tpPv,Default Response Set,,,,,0,5/14/2014 10:01,5/14/2014 10:01,1,Scientists,Screened_out,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3syJOVmweVKcapv,Default Response Set,,,,,0,5/14/2014 10:04,5/14/2014 10:05,1,Scientists,Screened_out,1,1,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_7TLOjeHWzbeYu1v,Default Response Set,,,,,0,5/14/2014 10:14,5/14/2014 10:15,1,Scientists,Screened_out,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_5mU1QZIkNyX3JZz,Default Response Set,,,,,0,5/14/2014 10:07,5/14/2014 10:19,1,Scientists,,1,1,,1,1,1,39,0,0,71,61,71,40,60,50,39,60,30,0,70,53,60,49,71,61,60,46,0,0,49,52,38,40,62,45,50,48,8,0,60,49,50,49,69,50,70,29,0,0,60,60,61,50,48,51,50,71,100,99,51,40,69,71,39,71,71,1,61,34,61,1,41,,,,
R_2lwwjIU7rZuFljf,Default Response Set,,,,,0,5/14/2014 10:15,5/14/2014 10:21,1,Scientists,,1,1,,1,1,1,50,29,72,82,30,71,29,72,51,81,71,19,45,76,49,35,20,76,62,77,30,30,60,55,29,29,20,50,49,80,61,18,49,60,29,29,19,52,61,74,35,29,50,80,29,81,20,71,50,80,70,50,80,71,70,50,31,39,50,80,1,122,54,82,1,39,,,,
R_77G2LQYNf4aP3ut,Default Response Set,,,,,0,5/14/2014 10:33,5/14/2014 10:36,1,Scientists,,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,26,43,66,1,39,,,,
R_3dVGCfgcpP0pR5j,Default Response Set,,,,,0,5/14/2014 10:31,5/14/2014 10:42,1,Scientists,,1,1,,1,1,1,16,5,26,100,95,55,7,70,86,90,55,9,7,88,15,28,84,81,84,93,70,50,99,94,8,7,91,10,100,94,55,55,51,85,25,50,100,28,77,73,77,7,16,91,57,87,7,91,69,82,44,100,60,9,11,31,91,9,11,45,1,163,46,91,1,38,,,,
