"","Start_time","End_time","Finished","Screening","Condition","Intro","Consent","Reason_nc","Check_phd","Check_work_status","Check_phd_research","ob1","ob2","ob3","ra1","ra2","ra3","op1","op2","op3","iq1","iq2","iq3","in1","in2","in3","co1","co2","co3","Country","Year_born","Year_phd","Gender","Tenure","Feedback","Target"
"2","5/12/2014 10:47","5/12/2014 10:56","1",NA,"Established","1","1",NA,"1","1",NA,5,7,5,7,6,7,7,7,7,4,4,5,7,7,7,7,7,7,"163","54","90","2","4",NA,"Established Scientists"
"5","5/13/2014 10:52","5/13/2014 10:57","1",NA,"PhD","1","1",NA,"1","1",NA,5,4,2,5,5,5,5,5,6,2,3,4,5,4,4,4,4,3,"128","51","90","1","4",NA,"PhD Students"
"6","5/12/2014 10:01","5/13/2014 14:12","1",NA,"Established","1","1",NA,"1","6",NA,6,6,5,5,6,6,3,7,7,4,3,4,6,6,7,4,5,4,"142","60","90","2","5",NA,"Established Scientists"
"7","5/14/2014 10:02","5/14/2014 10:05","1",NA,"Established","1","1",NA,"1","1",NA,6,7,5,6,6,6,6,6,6,4,4,4,7,6,7,7,6,6,"122","60","90","1","5",NA,"Established Scientists"
"8","5/14/2014 10:03","5/14/2014 10:07","1",NA,"Early","1","1",NA,"1","1",NA,6,3,3,4,6,3,5,3,3,2,2,5,4,3,4,2,6,2,"163","51","81","1","4",NA,"Early-career Scientists"
"10","5/14/2014 10:03","5/14/2014 10:07","1",NA,"Early","1","1",NA,"1","1",NA,5,3,3,5,5,6,6,5,5,6,5,5,6,4,5,4,4,2,"128","56","89","1","4",NA,"Early-career Scientists"
"11","5/14/2014 10:05","5/14/2014 10:09","1",NA,"Established","1","1",NA,"1","1",NA,6,6,6,5,4,5,6,3,5,1,1,1,7,7,7,7,6,2,"61","54","82","1","4",NA,"Established Scientists"
"12","5/14/2014 10:05","5/14/2014 10:10","1",NA,"Early","1","1",NA,"1","1",NA,6,6,4,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,"9","62","93","2","5",NA,"Early-career Scientists"
"13","5/14/2014 10:04","5/14/2014 10:10","1",NA,"PhD","1","1",NA,"1","1",NA,6,6,4,7,7,6,6,6,7,6,5,5,6,5,6,4,6,1,"161","26","54","1","4",NA,"PhD Students"
"14","5/14/2014 10:03","5/14/2014 10:10","1",NA,"Established","1","1",NA,"1","1",NA,2,5,4,5,5,5,2,3,4,6,6,4,6,5,5,6,5,2,"163","63","91","1","4",NA,"Established Scientists"
"15","5/14/2014 10:06","5/14/2014 10:10","1",NA,"PhD","1","1",NA,"1","1",NA,5,3,4,5,3,5,3,3,3,6,3,5,5,3,3,3,3,2,"156","66","93","1","5",NA,"PhD Students"
"16","5/14/2014 10:05","5/14/2014 10:11","1",NA,"PhD","1","1",NA,"1","1",NA,5,6,3,6,6,6,6,6,7,4,5,4,7,6,6,3,4,4,"139","40","69","1","4",NA,"PhD Students"
"17","5/14/2014 10:08","5/14/2014 10:12","1",NA,"PhD","1","1",NA,"1","1",NA,6,5,4,6,4,5,6,6,4,5,4,4,4,7,6,6,5,4,"60","64","94","1","5",NA,"PhD Students"
