V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Screening,Condition,Intro,Consent,Reason_NC,CheckGroup,Check_Sc,Check_PhdS,Intro_ECS,Q1_ECS_Ob,Q2_ECS_Ob,Q3_ECS_Ob,Q4_ECS_Ra,Q5_ECS_Ra,Q6_ECS_Ra,Q7_ECS_Op,Q8_ECS_Op,Q9_ECS_Op,Q10_ECS_IQ,Q11_ECS_IQ,Q12_ECS_IQ,Q13_ECS_In,Q14_ECS_In,Q15_ECS_In,Q16_ECS_Co,Q17_ECS_Co,Q18_ECS_Co,Intro_ES,Q1_ES_Ob,Q2_ES_Ob,Q3_ES_Ob,Q4_ES_Ra,Q5_ES_Ra,Q6_ES_Ra,Q7_ES_Op,Q8_ES_Op,Q9_ES_Op,Q10_ES_IQ,Q11_ES_IQ,Q12_ES_IQ,Q13_ES_In,Q14_ES_In,Q15_ES_In,Q16_ES_Co,Q17_ES_Co,Q18_ES_Co,Intro_PhDs,Q1_PhD_Ob,Q2_PhD_Ob,Q3_PhD_Ob,Q4_PhD_Ra,Q5_PhD_Ra,Q6_PhD_Ra,Q7_PhD_Op,Q8_PhD_Op,Q9_PhD_Op,Q10_PhD_IQ,Q11_PhD_IQ,Q12_PhD_IQ,Q13_PhD_In,Q14_PhD_In,Q15_PhD_In,Q16_PhD_Co,Q17_PhD_Co,Q18_PhD_Co,Intro_dem,Dem_countr,Dem_y_born,Dem_ac_age,Dem_gender,Dem_tenure,Feedback,DO-BR-FL_8,DO-BL-Early-careerscientists,DO-BL-Establishedscientists,DO-BL-PhD_students,LocationLatitude,LocationLongitude,LocationAccuracy
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,Screening,Condition,"Dear Dr ${m://LastName}, /  /    /  /  We will only report results /  of our survey aggregated (averaged) over many different /  respondents so that your answers will remain anonymous and your /  specific respon...","Before you start, please indicate that you have read the above and / agree to participate:","You have indicated that you do not wish to participate in this / study.  /   /  Thank you for your time. In the invitation e-mail that you /  received, you will find a link that you can click on to opt out...",This question is to check whether you're indeed a member of the /  respondent group we're interested in for this study: /  /   /  Please indicate the answer that applies to you:,This is another question to check whether you're indeed a member /  of the respondent group we're interested in for this study: /  /   /  Please indicate the answer that applies to you:,This is another question to check whether you're indeed a member /  of the respondent group we're interested in for this study: /  /    /  /  Please indicate whether the following statement applies to you:...,"Below, you will read a series of /  statements about the typical early-career /  scientist. /  By ‘early-career scientist’, we mean a post-doctoral academic who /  obtained their PhD less than 10 years ago...",An early-career scientist is capable of suppressing personal biases / in the interest of objective inquiry.,An early-career scientist assesses relevant information without /  prejudicial distortions.,An early-career scientist exhibits little emotionality with respect / to his/her beliefs.,An early-career scientist has excellent problem-solving skills.,An early-career scientist can readily discriminate between / illogical and logical reasoning.,An early-career scientist is logical in his/her professional / problem solving.,An early-career scientist suspends judgment when faced with / insufficient or ambiguous information.,An early-career scientist is willing to acknowledge evidence that / goes against his/her beliefs.,An early-career scientist is willing to change his/her beliefs when / confronted with contrary evidence.,Standard measures of intelligence are a good predictor of the / performance of an early-career scientist.,Superior intelligence is a prerequisite for a successful career of / an early-career scientist.,An early-career scientist has a very high IQ score.,An early-career scientist conducts his/her work with integrity.,An early-career scientist does not engage in unethical behavior to / advance his/her career.,An early-career scientist does not commit fraud in his/her / work. ,An early-career scientist does not withhold information from / his/her colleagues to protect his/her own interests.,An early-career scientist exhibits cooperative rather than / competitive behavior.,An early-career scientist is not interested in personal fame or / recognition.,"Below, you will read a series of /  statements about the typical established /  scientist. By ‘established scientist’, we mean a /  scientist who obtained their PhD more than 10 years ago, and has /  tenur...",An established scientist is capable of suppressing personal biases / in the interest of objective inquiry.,An established scientist assesses relevant information without /  prejudicial distortions.,An established scientist exhibits little emotionality with respect / to his/her beliefs.,An established scientist has excellent problem-solving skills.,An established scientist can readily discriminate between illogical / and logical reasoning.,An established scientist is logical in his/her professional problem / solving.,An established scientist suspends judgment when faced with / insufficient or ambiguous information.,An established scientist is willing to acknowledge evidence that / goes against his/her beliefs.,An established scientist is willing to change his/her beliefs when / confronted with contrary evidence.,Standard measures of intelligence are a good predictor of the / performance of an established scientist.,Superior intelligence is a prerequisite for a successful career of / an established scientist.,An established scientist has a very high IQ score.,An established scientist conducts his/her work with integrity.,An established scientist doe not engage in unethical behavior to / advance his/her career.,An established scientist does not commit fraud in his/her / work. ,An established scientist does not withhold information from his/her / colleagues to protect his/her own interests.,An established scientist exhibits cooperative rather than / competitive behavior.,An established scientist is not interested in personal fame or / recognition.,"Below, you will read a /  series of statements about /  the typical PhD-student. /  By ‘PhD-student’, we mean a graduate student at an academic /  institution who is conducting scientific research for his/...",A PhD-student is capable of suppressing personal biases in the / interest of objective inquiry.,A PhD-student assesses relevant information without /  prejudicial distortions.,A PhD-student exhibits little emotionality with respect / to his/her beliefs.,A PhD-student has excellent problem-solving skills.,A PhD-student can readily discriminate between illogical / and logical reasoning.,A PhD-student is logical in his/her professional problem / solving.,A PhD-student suspends judgment when faced with insufficient / or ambiguous information.,A PhD-student is willing to acknowledge evidence that / goes against his/her beliefs.,A PhD-student is willing to change his/her beliefs when / confronted with contrary evidence.,Standard measures of intelligence are a good predictor of the / performance of a PhD-student.,Superior intelligence is a prerequisite for a successful career of / a PhD-student.,A PhD-student has a very high IQ score.,A PhD-student conducts his/her work with integrity.,A PhD-student doe not engage in unethical behavior to / advance his/her career.,A PhD-student does not commit fraud in his/her / work. ,A PhD-student does not withhold information from his/her / colleagues to protect his/her own interests.,A PhD-student exhibits cooperative rather than / competitive behavior.,A PhD-student is not interested in personal fame or / recognition.,"Finally, we would like to ask you a few demographic questions:",List of Countries,What year were you born?,In what year did (or will) you obtain your PhD?,What is your gender?,Do you have tenure at a university or another academic / institution? ,"This is the end of the questionnaire. Before we display some / additional information about our study, we would like to offer you / the opportunity to write down any comments, thoughts, ideas or / sugges...",Display Order: Block Randomizer FL_8,Display Order: Early-career scientists,Display Order: Established scientists,Display Order: PhD_students,LocationLatitude,LocationLongitude,LocationAccuracy
R_4UhkBiiHjw21UVL,Default Response Set,,,,,0,5/12/2014 10:47,5/12/2014 10:56,1,,Established,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,1,5,7,5,7,6,7,7,7,7,4,4,5,7,7,7,7,7,7,,,,,,,,,,,,,,,,,,,,1,163,54,90,2,4,,,,,,,,
R_9Yv39jbfRl0WoHr,Default Response Set,,,,,0,5/12/2014 14:55,5/12/2014 14:55,1,Screened_out,,1,1,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_4IWjCFuTXjDDmnP,Default Response Set,,,,,0,5/12/2014 21:30,5/12/2014 21:31,1,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_22YeQhMWiL7Ymrz,Default Response Set,,,,,0,5/13/2014 10:52,5/13/2014 10:57,1,,PhD,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,4,2,5,5,5,5,5,6,2,3,4,5,4,4,4,4,3,1,128,51,90,1,4,,,,,,,,
R_81gELPde5c0SdwN,Default Response Set,,,,,0,5/12/2014 10:01,5/13/2014 14:12,1,,Established,1,1,,1,6,,,,,,,,,,,,,,,,,,,,,1,6,6,5,5,6,6,3,7,7,4,3,4,6,6,7,4,5,4,,,,,,,,,,,,,,,,,,,,1,142,60,90,2,5,,,,,,,,
R_eRvKUmuKu1rbUUd,Default Response Set,,,,,0,5/14/2014 10:02,5/14/2014 10:05,1,,Established,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,1,6,7,5,6,6,6,6,6,6,4,4,4,7,6,7,7,6,6,,,,,,,,,,,,,,,,,,,,1,122,60,90,1,5,,,,,,,,
R_1YaXObRPPuxuolv,Default Response Set,,,,,0,5/14/2014 10:03,5/14/2014 10:07,1,,Early,1,1,,1,1,,1,6,3,3,4,6,3,5,3,3,2,2,5,4,3,4,2,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,163,51,81,1,4,,,,,,,,
R_cUsqcxkw0i8c513,Default Response Set,,,,,0,5/14/2014 10:06,5/14/2014 10:07,1,Screened_out,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_4YepFoDirjRq5Cd,Default Response Set,,,,,0,5/14/2014 10:03,5/14/2014 10:07,1,,Early,1,1,,1,1,,1,5,3,3,5,5,6,6,5,5,6,5,5,6,4,5,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,128,56,89,1,4,,,,,,,,
