Old_name;New_name
V1;delete1
V2;delete2
V3;delete3
V4;delete4
V5;delete5
V6;delete6
V7;delete7
V8;Start_time
V9;End_time
V10;Finished
Screening;Screening
Condition;Condition
Intro;Intro
Consent;Consent
Reason_NC;Reason_nc
CheckGroup;Check_phd
Check_Sc;Check_work_status
Check_PhdS;Check_phd_research
Intro_ECS;delete8
Q1_ECS_Ob;ECS_ob1
Q2_ECS_Ob;ECS_ob2
Q3_ECS_Ob;ECS_ob3
Q4_ECS_Ra;ECS_ra1
Q5_ECS_Ra;ECS_ra2
Q6_ECS_Ra;ECS_ra3
Q7_ECS_Op;ECS_op1
Q8_ECS_Op;ECS_op2
Q9_ECS_Op;ECS_op3
Q10_ECS_IQ;ECS_iq1
Q11_ECS_IQ;ECS_iq2
Q12_ECS_IQ;ECS_iq3
Q13_ECS_In;ECS_in1
Q14_ECS_In;ECS_in2
Q15_ECS_In;ECS_in3
Q16_ECS_Co;ECS_co1
Q17_ECS_Co;ECS_co2
Q18_ECS_Co;ECS_co3
Intro_ES;delete9
Q1_ES_Ob;ES_Ob1
Q2_ES_Ob;ES_Ob2
Q3_ES_Ob;ES_Ob3
Q4_ES_Ra;ES_Ra1
Q5_ES_Ra;ES_Ra2
Q6_ES_Ra;ES_Ra3
Q7_ES_Op;ES_Op1
Q8_ES_Op;ES_Op2
Q9_ES_Op;ES_Op3
Q10_ES_IQ;ES_Iq1
Q11_ES_IQ;ES_Iq2
Q12_ES_IQ;ES_Iq3
Q13_ES_In;ES_In1
Q14_ES_In;ES_In2
Q15_ES_In;ES_In3
Q16_ES_Co;ES_Co1
Q17_ES_Co;ES_Co2
Q18_ES_Co;ES_Co3
Intro_PhDs;delete10
Q1_PhD_Ob;PHD_Ob1
Q2_PhD_Ob;PHD_Ob2
Q3_PhD_Ob;PHD_Ob3
Q4_PhD_Ra;PHD_Ra1
Q5_PhD_Ra;PHD_Ra2
Q6_PhD_Ra;PHD_Ra3
Q7_PhD_Op;PHD_Op1
Q8_PhD_Op;PHD_Op2
Q9_PhD_Op;PHD_Op3
Q10_PhD_IQ;PHD_Iq1
Q11_PhD_IQ;PHD_Iq2
Q12_PhD_IQ;PHD_Iq3
Q13_PhD_In;PHD_In1
Q14_PhD_In;PHD_In2
Q15_PhD_In;PHD_In3
Q16_PhD_Co;PHD_Co1
Q17_PhD_Co;PHD_Co2
Q18_PhD_Co;PHD_Co3
Intro_dem;delete10
Dem_countr;Country
Dem_y_born;Year_born
Dem_ac_age;Year_phd
Dem_gender;Gender
Dem_tenure;Tenure
Feedback;Feedback
DO-BR-FL_8;delete11
DO-BL-Early-careerscientists;delete12
DO-BL-Establishedscientists;delete13
DO-BL-PhD_students;delete14
LocationLatitude;delete15
LocationLongitude;delete16
LocationAccuracy;delete17
