"","Start_time","End_time","Finished","Screening","Condition","Intro","Consent","Reason_nc","Check_phd","Check_work_status","ob1","ob2","ob3","ra1","ra2","ra3","op1","op2","op3","iq1","iq2","iq3","in1","in2","in3","co1","co2","co3","Country","Year_born","Year_phd","Gender","Tenure","Feedback","Target"
"2","5/12/2014 10:05","5/12/2014 10:13","1","","Female","1","1","","1","1",4,7,4,4,4,4,4,4,4,6,6,4,4,4,4,5,4,4,"86","57","84","1","4","","Female Scientists"
"4","5/14/2014 10:01","5/14/2014 10:04","1","","Female","1","1","","1","1",6,4,4,6,6,6,6,4,6,4,2,4,6,4,5,2,7,2,"122","58","89","1","4","","Female Scientists"
"5","5/14/2014 10:01","5/14/2014 10:05","1","","Male","1","1","","1","2",6,6,5,6,6,6,6,6,6,3,7,6,6,5,6,4,5,2,"187","27","53","1","5","","Male Scientists"
"6","5/14/2014 10:02","5/14/2014 10:06","1","","Male","1","1","","1","1",5,4,5,6,6,6,6,5,5,4,3,6,4,5,4,2,2,2,"65","57","93","2","4","","Male Scientists"
"7","5/14/2014 10:02","5/14/2014 10:08","1","","Male","1","1","","1","1",5,2,3,2,4,4,4,5,3,2,3,4,3,3,2,2,4,2,"36","36","65","1","4","","Male Scientists"
"8","5/14/2014 10:07","5/14/2014 10:10","1","","Male","1","1","","1","1",3,3,2,5,4,5,5,3,3,4,4,4,5,4,5,5,4,2,"9","55","84","2","4","","Male Scientists"
"9","5/14/2014 10:06","5/14/2014 10:12","1","","Female","1","1","","1","1",3,4,3,4,5,6,4,4,4,6,5,4,5,6,5,4,3,2,"36","50","87","1","5","","Female Scientists"
"10","5/14/2014 10:02","5/14/2014 10:14","1","","Male","1","1","","1","1",4,4,3,4,5,5,4,5,5,5,4,4,3,3,3,3,4,3,"65","60","89","1","5","","Male Scientists"
"11","5/14/2014 10:10","5/14/2014 10:14","1","","Male","1","1","","1","1",6,6,2,6,6,6,6,6,6,6,3,3,6,6,6,6,6,6,"87","53","82","1","5","","Male Scientists"
"12","5/14/2014 10:17","5/14/2014 10:21","1","","Female","1","1","","1","1",6,6,3,6,6,6,5,6,6,5,6,6,6,4,4,4,6,2,"161","37","68","1","4","","Female Scientists"
"13","5/14/2014 10:16","5/14/2014 10:21","1","","Male","1","1","","1","1",2,4,6,5,5,5,4,4,3,3,5,4,4,1,1,3,3,2,"84","57","86","2","4","","Male Scientists"
"14","5/14/2014 10:21","5/14/2014 10:27","1","","Male","1","1","","1","1",5,5,4,6,6,5,5,6,5,6,6,5,5,4,6,6,4,3,"185","65","92","2","5","","Male Scientists"
"15","5/14/2014 10:11","5/14/2014 10:28","1","","Female","1","1","","1","1",7,7,3,6,7,6,7,7,7,6,7,7,7,7,7,6,7,6,"163","42","72","1","4","","Female Scientists"
"16","5/14/2014 10:26","5/14/2014 10:28","1","","Male","1","1","","1","1",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"9","47","78","1","4","","Male Scientists"
"17","5/14/2014 10:27","5/14/2014 10:31","1","","Male","1","1","","1","1",4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,3,3,3,"17","63","90","2","5","","Male Scientists"
"18","5/14/2014 10:30","5/14/2014 10:33","1","","Male","1","1","","1","1",6,6,4,6,6,6,5,6,6,4,5,6,6,6,6,6,5,5,"185","52","85","2","4","","Male Scientists"
"19","5/14/2014 10:36","5/14/2014 10:46","1","","Male","1","1","","1","1",4,2,2,6,6,6,2,2,5,1,1,2,4,4,4,1,1,2,"163","56","83","1","4","","Male Scientists"
"20","5/14/2014 10:42","5/14/2014 10:48","1","","Male","1","1","","1","1",6,6,7,6,6,6,6,6,6,2,2,2,6,6,7,6,6,3,"122","48","88","1","5","","Male Scientists"
"21","5/14/2014 10:02","5/14/2014 10:53","1","","Female","1","1","","2","",7,7,6,7,7,7,7,7,7,4,4,4,7,7,7,7,7,4,"89","59","96","1","5","","Female Scientists"
"22","5/14/2014 10:49","5/14/2014 10:54","1","","Male","1","1","","1","1",2,2,3,2,2,4,3,3,2,1,2,1,2,2,2,2,2,1,"82","46","78","1","4","","Male Scientists"
