V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Screening,Condition,Intro,Consent,Reason_NC,Check_PhD,CheckGroup,Intro_FS,Q1_FS_Ob,Q2_FS_Ob,Q3_FS_Ob,Q4_FS_Ra,Q5_FS_Ra,Q6_FS_Ra,Q7_FS_Op,Q8_FS_Op,Q9_FS_Op,Q10_FS_IQ,Q11_FS_IQ,Q12_FS_IQ,Q13_FS_In,Q14_FS_In,Q15_FS_In,Q16_FS_Co,Q17_FS_Co,Q18_FS_Co,Intro_MS,Q1_MS_Ob,Q2_MS_Ob,Q3_MS_Ob,Q4_MS_Ra,Q5_MS_Ra,Q6_MS_Ra,Q7_MS_Op,Q8_MS_Op,Q9_MS_Op,Q10_MS_IQ,Q11_MS_IQ,Q12_MS_IQ,Q13_MS_In,Q14_MS_In,Q15_MS_In,Q16_MS_Co,Q17_MS_Co,Q18_MS_Co,Intro_dem,Dem_countr,Dem_y_born,Dem_ac_age,Dem_gender,Dem_tenure,Feedback,LocationLatitude,LocationLongitude,LocationAccuracy
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,Screening,Condition,"Dear Dr ${m://LastName}, /  /    /  /  Thank you for your interest in our /  survey.  /  /    /  /  We will only report results /  of our survey aggregated (averaged) over many different /  respondents so that your answ...","Before you start, please indicate / that you have read the above and agree to participate:","You have indicated that you do not wish to participate in this / study.  /   /  Thank you for your time. In the invitation e-mail that you /  received, you will find a link that you can click on to opt out...",This question is to check whether you're indeed a member of the /  respondent group we're interested in for this study: /  /   /  Please indicate the answer that applies to you:,This is another question to check whether you're indeed a member /  of the respondent group we're interested in for this study: /  /   /  Please indicate the answer that applies to you:,"Below, you will read a series of /  statements about the typical female /  scientist. /  /    /  /  For each statement, please /  indicate to what extent you agree or /  disagree.  /  /    /  /    /  /  Important: please /  bas...",A female scientist is capable of suppressing personal biases in the / interest of objective inquiry.,A female scientist assesses relevant information without /  prejudicial distortions.,A female scientist exhibits little emotionality with respect / to her beliefs.,A female scientist has excellent problem-solving skills.,A female scientist can readily discriminate between illogical and / logical reasoning.,A female scientist is logical in her professional problem solving.,A female scientist suspends judgment when faced with insufficient / or ambiguous information.,A female scientist is willing to acknowledge evidence that goes / against her beliefs.,A female scientist is willing to change her beliefs when / confronted with contrary evidence.,Standard measures of intelligence are a good predictor of the / performance of a female scientist.,Superior intelligence is a prerequisite for a successful career of / of a female scientist.,A female scientist has a very high IQ score.,A female scientist conducts her work with integrity.,A female scientist does not engage in unethical behavior to advance / her career.,A female scientist does not commit fraud in her work. ,A female scientist does not withhold information from her / colleagues to protect her own interests.,A female scientist exhibits cooperative rather than competitive / behavior.,A female scientist is not interested in personal fame or / recognition.,"Below, you will read a series of /  statements about the typical male /  scientist. /  /  For each statement, please /  indicate to what extent you agree or /  disagree:   /  /    /  /    /  /  Important: please /  base you...",A male scientist is capable of suppressing personal biases in the / interest of objective inquiry.,A male scientist  assesses relevant information without /  prejudicial distortions.,A male scientist exhibits little emotionality with respect to / his beliefs.,A male scientist has excellent problem-solving skills.,A male scientist can readily discriminate between illogical / and logical reasoning.,A male scientist is logical in his professional problem / solving.,A male scientist suspends judgment when faced with insufficient or / ambiguous information.,A male scientist is willing to acknowledge evidence that goes / against his beliefs.,A male scientist is willing to change his beliefs when / confronted with contrary evidence.,Standard measures of intelligence are a good predictor of the / performance of a male scientist.,Superior intelligence is a prerequisite for a successful career of / a male scientist.,A male scientist has a very high IQ score.,A male scientist conducts his work with integrity.,A male scientist does not engage in unethical behavior to / advance his career.,A male scientist does not commit fraud in his work. ,A male scientist does not withhold information from his colleagues / to protect his own interests.,A male scientist exhibits cooperative rather than competitive / behavior.,A male scientist is not interested in personal fame or / recognition.,"Finally, we would like to ask you a few demographic questions:",List of Countries,What year were you born?,In what year did (or will) you obtain your PhD?,What is your gender?,Do you have tenure at a university or another academic / institution? ,"This is the end of the questionnaire. Before we display some / additional information about our study, we would like to offer you / the opportunity to write down any comments, thoughts, ideas or / sugges...",LocationLatitude,LocationLongitude,LocationAccuracy
R_b8FLdX76K58XfTv,Default Response Set,,,,,0,5/12/2014 10:05,5/12/2014 10:13,1,,Female,1,1,,1,1,1,4,7,4,4,4,4,4,4,4,6,6,4,4,4,4,5,4,4,,,,,,,,,,,,,,,,,,,,1,86,57,84,1,4,,,,
R_cBy08A0ViOWVvtr,Default Response Set,,,,,0,5/12/2014 19:53,5/12/2014 19:53,1,Screened_out,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1MkotnNq0crTmux,Default Response Set,,,,,0,5/14/2014 10:01,5/14/2014 10:04,1,,Female,1,1,,1,1,1,6,4,4,6,6,6,6,4,6,4,2,4,6,4,5,2,7,2,,,,,,,,,,,,,,,,,,,,1,122,58,89,1,4,,,,
R_eVVnvfuh8pBIqmF,Default Response Set,,,,,0,5/14/2014 10:01,5/14/2014 10:05,1,,Male,1,1,,1,2,,,,,,,,,,,,,,,,,,,,1,6,6,5,6,6,6,6,6,6,3,7,6,6,5,6,4,5,2,1,187,27,53,1,5,,,,
R_cOdj457PKZPJ0cB,Default Response Set,,,,,0,5/14/2014 10:02,5/14/2014 10:06,1,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,5,4,5,6,6,6,6,5,5,4,3,6,4,5,4,2,2,2,1,65,57,93,2,4,,,,
R_5hwFII2NgRecDWJ,Default Response Set,,,,,0,5/14/2014 10:02,5/14/2014 10:08,1,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,5,2,3,2,4,4,4,5,3,2,3,4,3,3,2,2,4,2,1,36,36,65,1,4,,,,
R_bBFilSRxHXCUzlj,Default Response Set,,,,,0,5/14/2014 10:07,5/14/2014 10:10,1,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,3,3,2,5,4,5,5,3,3,4,4,4,5,4,5,5,4,2,1,9,55,84,2,4,,,,
R_6MtNKYX9LU2PyVn,Default Response Set,,,,,0,5/14/2014 10:06,5/14/2014 10:12,1,,Female,1,1,,1,1,1,3,4,3,4,5,6,4,4,4,6,5,4,5,6,5,4,3,2,,,,,,,,,,,,,,,,,,,,1,36,50,87,1,5,,,,
R_6sOkUGNwWk1wOyx,Default Response Set,,,,,0,5/14/2014 10:02,5/14/2014 10:14,1,,Male,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,4,4,3,4,5,5,4,5,5,5,4,4,3,3,3,3,4,3,1,65,60,89,1,5,,,,
