Old_name;New_name
V1;delete1
V2;delete2
V3;delete3
V4;delete4
V5;delete5
V6;delete6
V7;delete7
V8;Start_time
V9;End_time
V10;Finished
Screening;Screening
Condition;Condition
Intro;Intro
Consent;Consent
Reason_NC;Reason_nc
Check_PhD;Check_phd
CheckGroup;Check_work_status
Intro_FS;delete8
Q1_FS_Ob;FS_ob1
Q2_FS_Ob;FS_ob2
Q3_FS_Ob;FS_ob3
Q4_FS_Ra;FS_ra1
Q5_FS_Ra;FS_ra2
Q6_FS_Ra;FS_ra3
Q7_FS_Op;FS_op1
Q8_FS_Op;FS_op2
Q9_FS_Op;FS_op3
Q10_FS_IQ;FS_iq1
Q11_FS_IQ;FS_iq2
Q12_FS_IQ;FS_iq3
Q13_FS_In;FS_in1
Q14_FS_In;FS_in2
Q15_FS_In;FS_in3
Q16_FS_Co;FS_co1
Q17_FS_Co;FS_co2
Q18_FS_Co;FS_co3
Intro_MS;delete9
Q1_MS_Ob;MS_Ob1
Q2_MS_Ob;MS_Ob2
Q3_MS_Ob;MS_Ob3
Q4_MS_Ra;MS_Ra1
Q5_MS_Ra;MS_Ra2
Q6_MS_Ra;MS_Ra3
Q7_MS_Op;MS_Op1
Q8_MS_Op;MS_Op2
Q9_MS_Op;MS_Op3
Q10_MS_IQ;MS_Iq1
Q11_MS_IQ;MS_Iq2
Q12_MS_IQ;MS_Iq3
Q13_MS_In;MS_In1
Q14_MS_In;MS_In2
Q15_MS_In;MS_In3
Q16_MS_Co;MS_Co1
Q17_MS_Co;MS_Co2
Q18_MS_Co;MS_Co3
Intro_dem;delete10
Dem_countr;Country
Dem_y_born;Year_born
Dem_ac_age;Year_phd
Dem_gender;Gender
Dem_tenure;Tenure
Feedback;Feedback
LocationLatitude;delete14
LocationLongitude;delete15
LocationAccuracy;delete16
